,district_x,name_x,address,city_x,phone,email,original_name_x,Match,rowid,school,district_y,street,city_y,state,zip,original_name_y,name_y,simple_name,district,participating,duped,score
91,Charter,,5101 S. Western Avenue,Los Angeles,(323) 644-9861,No Data,Libertas College Preparatory Charter School,[],0,Libertas College Preparatory Charter School (Charter),,,,,,,,,Charter,True,False,
92,Charter,,1200 Colton St.,Los Angeles,(213) 487-0600,,Los Angeles Academy of Arts and Enterprise (LAAAE),[],0,Los Angeles Academy of Arts and Enterprise (LAAAE) (Charter),,,,,,,,,Charter,True,False,
93,Charter,,1010 E 34th St.,Los Angeles,(323) 817-6550,,Matrix Academy for Success,[],0,Matrix Academy for Success (Charter),,,,,,,,,Charter,True,False,
94,Charter,,1342 W. Adams Blvd.,Los Angeles,(323) 730-0330,,New Designs Charter School,[],0,New Designs Charter School (Charter),,,,,,,,,Charter,True,False,
95,Charter,,1905 Armacost Ave,Los Angeles,(310) 943-5444,sweir@newwestcharter.org,New West Charter,[],0,New West Charter (Charter),,,,,,,,,Charter,True,False,
96,Charter,,12105 Allegheny Street,Sun Valley,(818) 368-1557 X 2215,,North Valley Military Institute,[],0,North Valley Military Institute (Charter),,,,,,,,,Charter,True,False,
97,Charter,,11016 Norris Ave.,Pacoima,(818) 897-5102,,Pacoima Charter School,[],0,Pacoima Charter School (Charter),,,,,,,,,Charter,True,False,
98,Charter,,474 Hartford Avenue,Los Angeles,(213) 481-3200,,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2),[],0,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2) (Charter),,,,,,,,,Charter,True,False,
99,Charter,,,,,,Para Los Ninos -,[],0,Para Los Ninos - (Charter),,,,,,,,,Charter,True,False,
100,Charter,,,,,,Russell Westbrook Why Not? High School,[],0,Russell Westbrook Why Not? High School (Charter),,,,,,,,,Charter,True,False,
101,Charter,,,,,,Russell Westbrook Why Not? Middle School,[],0,Russell Westbrook Why Not? Middle School (Charter),,,,,,,,,Charter,True,False,
102,Charter,,24910 S. Avalon Blvd,Wilmington,(760) 898-2715,,Scholarship Prep,[],0,Scholarship Prep (Charter),,,,,,,,,Charter,True,False,
103,Charter,,,,,,Synergy Academies,[],0,Synergy Academies (Charter),,,,,,,,,Charter,True,False,
104,Charter,,,,,,TIME Community Schools,[],0,TIME Community Schools (Charter),,,,,,,,,Charter,True,False,
105,Charter,,,,,,Value Schools,[],0,Value Schools (Charter),,,,,,,,,Charter,True,False,
106,Charter,,,,,,Vaughn Next Century Learning Center,[],0,Vaughn Next Century Learning Center (Charter),,,,,,,,,Charter,True,False,
107,Charter,,,,,,Vox Collegiate,[],0,Vox Collegiate (Charter),,,,,,,,,Charter,True,False,
108,Charter,,,,,,We the People Charter School,[],0,We the People Charter School (Charter),,,,,,,,,Charter,True,False,
109,Charter,,4920 S. Avalon Blvd.,Los Angeles,(323) 750-7035,,YouthBuild Avalon / Mary B. Henry Academy,[],0,YouthBuild Avalon / Mary B. Henry Academy (Charter),,,,,,,,,Charter,True,False,
110,Charter,,6925 Canoga Ave.,Canoga Park,(818) 704-7884,,YouthBuild Canoga Park at R.U.T.H.,[],0,YouthBuild Canoga Park at R.U.T.H. (Charter),,,,,,,,,Charter,True,False,
111,Charter,,7625 S. Central Ave.,Los Angeles,(323) 235-4243,,YouthBuild Central LA / Youth Justice Coalition,[],0,YouthBuild Central LA / Youth Justice Coalition (Charter),,,,,,,,,Charter,True,False,
112,Charter,,1108 N. Oleander Avenue,Compton,(310) 631-2000,,YouthBuild Compton,[],0,YouthBuild Compton (Charter),,,,,,,,,Charter,True,False,
113,Charter,,110 S. Garfield Ave.,Montebello,(323) 887-2500,,YouthBuild East LA,[],0,YouthBuild East LA (Charter),,,,,,,,,Charter,True,False,
114,Charter,,3041 Peck Rd.,El Monte,(626) 444-5337,,YouthBuild El Monte / SGVCC,[],0,YouthBuild El Monte / SGVCC (Charter),,,,,,,,,Charter,True,False,
115,Charter,,5021 Lennox Blvd.,Lennox,(310) 225-3060,,YouthBuild Lennox / SBWIB,[],0,YouthBuild Lennox / SBWIB (Charter),,,,,,,,,Charter,True,False,
116,Charter,,"12440 Firestone Blvd., Suite 2001",Norwalk,(562) 409-5567,,YouthBuild Norwalk / Field of Dreams,[],0,YouthBuild Norwalk / Field of Dreams (Charter),,,,,,,,,Charter,True,False,
117,Charter,,305 E Arrow Hwy.,Pomona,(909) 397-9955,,YouthBuild Pomona / SGVCC,[],0,YouthBuild Pomona / SGVCC (Charter),,,,,,,,,Charter,True,False,
118,Charter,,400 West Washington Blvd.,Los Angeles,(323) 642-7765,,YouthBuild South LA / CRCD Academy,[],0,YouthBuild South LA / CRCD Academy (Charter),,,,,,,,,Charter,True,False,
119,Charter,,4103 West Adams Blvd.,Los Angeles,(310) 256-6112 ,,YouthBuild West Adams / Home Sweet Home,[],0,YouthBuild West Adams / Home Sweet Home (Charter),,,,,,,,,Charter,True,False,
120,Charter,,,,,,Youth Policy Institute (YPI) Charter Schools,[],0,Youth Policy Institute (YPI) Charter Schools (Charter),,,,,,,,,Charter,True,False,
121,Culver City,,4401 Elenda Street,Culver City,(310) 842-4200,,Culver City High School,[],0,Culver City High School (Culver City),,,,,,,,,Culver City,True,False,
122,Culver City,,4601 Elenda Street,Culver City,(310) 842-4200 x3335,,Culver City Middle School,[],0,Culver City Middle School (Culver City),,,,,,,,,Culver City,True,False,
123,Culver City,,4034 Irving Place,Culver City,(310) 842-4220,,Culver City Unified School District iAcademy,[],0,Culver City Unified School District iAcademy (Culver City),,,,,,,,,Culver City,True,False,
