id,index,district_x,name_x,address,phone,original_name_x,Match,rowid,school,district_y,street,original_name_y,simple_name,district,participating,duped,score
10,10,Charter,2071-alliance-collins-family-college-ready-high-,2071 Saturn Avenue,(323) 923-1588,Alliance Collins Family College-Ready High School,"[('2071 alliance collins family college ready high', 95.0, '2071-alliance-collins-family-college-ready-high-')]",95,Alliance Collins Family College-Ready High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2071 Saturn Ave.,Alliance Collins Family College-Ready High (Alliance College Ready Public Schools District),2071-alliance-collins-family-college-ready-high-,,True,False, 95.0
11,11,Charter,644-alliance-dr-olga-mohan-high-,644 West 17th Street,(213) 342-2870,Alliance Dr. Olga Mohan High School,"[('644 alliance dr olga mohan high', 95.0, '644-alliance-dr-olga-mohan-high-')]",96,Alliance Dr. Olga Mohan High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,644 West 17th St.,Alliance Dr. Olga Mohan High (Alliance College Ready Public Schools District),644-alliance-dr-olga-mohan-high-,,True,False, 95.0
12,12,Charter,2023-alliance-gertz-ressler-richard-merkin-6-12-complex-,2023 South Union Avenue,(213) 745-8141,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,"[('2023 alliance gertz ressler richard merkin 6 12 complex', 100.0, '2023-alliance-gertz-ressler-richard-merkin-6-12-complex-')]",97,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2023 South Union Ave.,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),2023-alliance-gertz-ressler-richard-merkin-6-12-complex-,,True,True, 100.0
13,13,Charter,2023-alliance-gertz-ressler-richard-merkin-6-12-complex-,2023 South Union Avenue,(213) 748-0141,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,"[('2023 alliance gertz ressler richard merkin 6 12 complex', 100.0, '2023-alliance-gertz-ressler-richard-merkin-6-12-complex-')]",97,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2023 South Union Ave.,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),2023-alliance-gertz-ressler-richard-merkin-6-12-complex-,,True,True, 100.0
14,14,Charter,603-alliance-jack-h-skirball-middle-,603 E. 115th Street,(323) 905-1377,Alliance Jack H. Skirball Middle School,"[('603 alliance jack h skirball middle', 95.0, '603-alliance-jack-h-skirball-middle-')]",98,Alliance Jack H. Skirball Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,603 East 115th St.,Alliance Jack H. Skirball Middle (Alliance College Ready Public Schools District),603-alliance-jack-h-skirball-middle-,,True,False, 95.0
15,15,Charter,10101-alliance-judy-ivie-burton-technology-academy-high-,10101 S Broadway,(323) 920-6125,Alliance Judy Ivie Burton Technology Academy High School,"[('10101 alliance judy ivie burton technology academy high', 95.0, '10101-alliance-judy-ivie-burton-technology-academy-high-')]",99,Alliance Judy Ivie Burton Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10101 South Broadway,Alliance Judy Ivie Burton Technology Academy High (Alliance College Ready Public Schools District),10101-alliance-judy-ivie-burton-technology-academy-high-,,True,False, 95.0
16,16,Charter,5886-alliance-kory-hunter-middle-,5886 Compton Ave,(323) 484-0450,Alliance Kory Hunter Middle School,"[('5886 alliance kory hunter middle', 95.0, '5886-alliance-kory-hunter-middle-')]",100,Alliance Kory Hunter Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5886 Compton Ave.,Alliance Kory Hunter Middle (Alliance College Ready Public Schools District),5886-alliance-kory-hunter-middle-,,True,False, 95.0
17,17,Charter,,2941 West 70th Street,(323) 920-4388,Alliance Leadership Middle Academy,[],0,Alliance Leadership Middle Academy (Charter),,,,,Charter,True,False,
18,18,Charter,2930-alliance-leichtman-levine-family-foundation-environmental-science-high-,2930 Fletcher Drive,(323) 739-0560,Alliance Leichtman-Levine Family Foundation Environmental Science High School,"[('2930 alliance leichtman levine family foundation environmental science high', 95.54140127388536, '2930-alliance-leichtman-levine-family-foundation-environmental-science-high-')]",78,Alliance Leichtman-Levine Family Foundation Environmental Science High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2930 Fletcher Dr.,Alliance Leichtman-Levine Family Foundation Environmental Science High (Alliance College Ready Public Schools District),2930-alliance-leichtman-levine-family-foundation-environmental-science-high-,,True,False, 95.54140127388536
19,19,Charter,5151-alliance-marc-&-eva-stern-math-and-science-,5151 State University Drive,(323) 987-2144,Alliance Marc and Eva Stern Math and Science School,"[('5151 alliance marc   eva stern math and science', 95.0, '5151-alliance-marc-&-eva-stern-math-and-science-')]",79,Alliance Marc & Eva Stern Math and Science (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,"5151 State University Dr., Lot 2",Alliance Marc & Eva Stern Math and Science (Alliance College Ready Public Schools District),5151-alliance-marc-&-eva-stern-math-and-science-,,True,False, 95.0
20,20,Charter,7907-alliance-margaret-m-bloomfield-technology-academy-high-,7907 Santa Fe Ave,(323) 537-2060,Alliance Margaret M. Bloomfield Technology Academy High School,"[('7907 alliance margaret m bloomfield technology academy high', 95.0, '7907-alliance-margaret-m-bloomfield-technology-academy-high-')]",80,Alliance Margaret M. Bloomfield Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,7907 Santa Fe Ave.,Alliance Margaret M. Bloomfield Technology Academy High (Alliance College Ready Public Schools District),7907-alliance-margaret-m-bloomfield-technology-academy-high-,,True,False, 95.0
21,21,Charter,11933-alliance-marine---innovation-and-technology-6-12-complex-,11933 Allegheny Street,(747) 223-2649,Alliance Marine - Innovation and Technology 6-12 Complex,"[('11933 alliance marine   innovation and technology 6 12 complex', 100.0, '11933-alliance-marine---innovation-and-technology-6-12-complex-')]",81,Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,11933 Allegheny St.,Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),11933-alliance-marine---innovation-and-technology-6-12-complex-,,True,True, 100.0
22,22,Charter,11933-alliance-marine---innovation-and-technology-6-12-complex-,11933 Allegheny Street,(747) 223-2766,Alliance Marine - Innovation and Technology 6-12 Complex,"[('11933 alliance marine   innovation and technology 6 12 complex', 100.0, '11933-alliance-marine---innovation-and-technology-6-12-complex-')]",81,Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,11933 Allegheny St.,Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),11933-alliance-marine---innovation-and-technology-6-12-complex-,,True,True, 100.0
23,23,Charter,110-alliance-morgan-mckinzie-high-,110 S. Townsend Ave.,(323) 526-8198,Alliance Morgan McKinzie High School,"[('110 alliance morgan mckinzie high', 95.0, '110-alliance-morgan-mckinzie-high-')]",82,Alliance Morgan McKinzie High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,110 South Townsend Ave.,Alliance Morgan McKinzie High (Alliance College Ready Public Schools District),110-alliance-morgan-mckinzie-high-,,True,False, 95.0
24,24,Charter,5356-alliance-ouchi-o'donovan-6-12-complex-,5355 4th Avenue,(323) 294-3172,Alliance Ouchi-O'Donovan 6-12 Complex,"[('5356 alliance ouchi o donovan 6 12 complex', 97.61904761904762, ""5356-alliance-ouchi-o'donovan-6-12-complex-"")]",83,Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5356 South Fifth Ave.,Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),5356-alliance-ouchi-o'donovan-6-12-complex-,,True,True, 97.61904761904762
25,25,Charter,5356-alliance-ouchi-o'donovan-6-12-complex-,5356 South 5th Avenue,(323) 596-2290,Alliance Ouchi-O'Donovan 6-12 Complex,"[('5356 alliance ouchi o donovan 6 12 complex', 100.0, ""5356-alliance-ouchi-o'donovan-6-12-complex-"")]",83,Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5356 South Fifth Ave.,Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),5356-alliance-ouchi-o'donovan-6-12-complex-,,True,True, 100.0
26,26,Charter,4610-alliance-patti-and-peter-neuwirth-leadership-academy-,4610 S. Main Street,(213) 342-2874,Alliance Patti & Peter Neuwirth Leadership Academy,"[('4610 alliance patti and peter neuwirth leadership academy', 96.42857142857143, '4610-alliance-patti-and-peter-neuwirth-leadership-academy-')]",84,Alliance Patti And Peter Neuwirth Leadership Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,4610 South Main St.,Alliance Patti And Peter Neuwirth Leadership Academy (Alliance College Ready Public Schools District),4610-alliance-patti-and-peter-neuwirth-leadership-academy-,,True,False, 96.42857142857143
27,27,Charter,8515-alliance-piera-barbaglia-shaheen-health-services-academy-,New: 8515 Kansas Avenue,(323) 972-9010,Alliance Piera Barbaglia Shaheen Health Services Academy,"[('8515 alliance piera barbaglia shaheen health services academy', 93.44262295081968, '8515-alliance-piera-barbaglia-shaheen-health-services-academy-')]",85,Alliance Piera Barbaglia Shaheen Health Services Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,8515 Kansas Ave.,Alliance Piera Barbaglia Shaheen Health Services Academy (Alliance College Ready Public Schools District),8515-alliance-piera-barbaglia-shaheen-health-services-academy-,,True,False, 93.44262295081968
28,28,Charter,2941-alliance-renee-and-meyer-luskin-academy-high-,2941 West 70th Street,(323) 905-1210,Alliance Renee & Meyer Luskin Academy High School,"[('2941 alliance renee and meyer luskin academy high', 90.95744680851064, '2941-alliance-renee-and-meyer-luskin-academy-high-')]",86,Alliance Renee and Meyer Luskin Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2941 West 70th St.,Alliance Renee and Meyer Luskin Academy High (Alliance College Ready Public Schools District),2941-alliance-renee-and-meyer-luskin-academy-high-,,True,False, 90.95744680851064
29,29,Charter,211-alliance-susan-and-eric-smidt-technology-high-,211 South Avenue 20,(323) 352-3206,Alliance Susan and Eric Smidt Technology High School,"[('211 alliance susan and eric smidt technology high', 95.0, '211-alliance-susan-and-eric-smidt-technology-high-')]",87,Alliance Susan and Eric Smidt Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,211 South Avenue 20,Alliance Susan and Eric Smidt Technology High (Alliance College Ready Public Schools District),211-alliance-susan-and-eric-smidt-technology-high-,,True,False, 95.0
30,30,Charter,1552-alliance-ted-k-tajima-high-,"1552 Rockwood St, Los Angeles",(213) 241-8533,Alliance Ted K. Tajima High School,"[('1552 alliance ted k tajima high', 95.0, '1552-alliance-ted-k-tajima-high-')]",88,Alliance Ted K. Tajima High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,1552 W. Rockwood St.,Alliance Ted K. Tajima High (Alliance College Ready Public Schools District),1552-alliance-ted-k-tajima-high-,,True,False, 95.0
31,31,Charter,2050-alliance-tennenbaum-family-technology-high-,2050 N. San Fernando Road,(323) 276-5545,Alliance Tennenbaum Family Technology High School,"[('2050 alliance tennenbaum family technology high', 95.0, '2050-alliance-tennenbaum-family-technology-high-')]",89,Alliance Tennenbaum Family Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2050 North San Fernando Rd.,Alliance Tennenbaum Family Technology High (Alliance College Ready Public Schools District),2050-alliance-tennenbaum-family-technology-high-,,True,False, 95.0
32,32,Charter,9330-animo-city-of-champions-charter-high-,9330 S. 8th Ave.,(323) 565-1600,Animo City of Champions,"[('9330 animo city of champions charter high', 95.0, '9330-animo-city-of-champions-charter-high-')]",680,Animo City of Champions Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,9330 South Eighth Ave.,Animo City of Champions Charter High (Green Dot Charter Schools District),9330-animo-city-of-champions-charter-high-,,True,False, 95.0
33,33,Charter,13305-animo-compton-charter-,13305 S. San Pedro St.,(323) 565-4415,Animo Compton Charter School,"[('13305 animo compton charter', 95.0, '13305-animo-compton-charter-')]",678,Animo Compton Charter (Green Dot Charter Schools District),Green Dot Charter Schools District,13305 South San Pedro St.,Animo Compton Charter (Green Dot Charter Schools District),13305-animo-compton-charter-,,True,False, 95.0
34,34,Charter,4360-animo-ellen-ochoa-charter-middle-,4360 Dozier St.,(323) 565-3245,Animo Ellen Ochoa,"[('4360 animo ellen ochoa charter middle', 90.0, '4360-animo-ellen-ochoa-charter-middle-')]",681,Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,4360 Dozier St.,Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),4360-animo-ellen-ochoa-charter-middle-,,True,False, 90.0
35,35,Charter,8255-animo-florence-firestone-charter-middle-,155 W. 69th St.,(323) 565-3280,Animo Florence Firestone,"[('8255 animo florence firestone charter middle', 86.78571428571429, '8255-animo-florence-firestone-charter-middle-')]",682,Animo Florence-Firestone Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,8255 Beach St.,Animo Florence-Firestone Charter Middle (Green Dot Charter Schools District),8255-animo-florence-firestone-charter-middle-,,True,False, 86.78571428571429
36,36,Charter,3425-animo-inglewood-charter-high-,3425 Manchester Blvd.,(323) 565-2100,Animo Inglewood,"[('3425 animo inglewood charter high', 90.0, '3425-animo-inglewood-charter-high-')]",676,Animo Inglewood Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,3425 West Manchester Blvd.,Animo Inglewood Charter High (Green Dot Charter Schools District),3425-animo-inglewood-charter-high-,,True,False, 90.0
37,37,Charter,3500-animo-jackie-robinson-high-,3500 S. Hill St.,(323) 846-5800,Animo Jackie Robinson,"[('3500 animo jackie robinson high', 95.0, '3500-animo-jackie-robinson-high-')]",683,Animo Jackie Robinson High (Green Dot Charter Schools District),Green Dot Charter Schools District,3500 South Hill St.,Animo Jackie Robinson High (Green Dot Charter Schools District),3500-animo-jackie-robinson-high-,,True,False, 95.0
38,38,Charter,810-animo-james-b-taylor-charter-middle-,810-820 E. 111th Place,(323) 568-8613,Animo James B. Taylor,"[('810 animo james b taylor charter middle', 87.6923076923077, '810-animo-james-b-taylor-charter-middle-')]",684,Animo James B. Taylor Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,810 East 111th Pl.,Animo James B. Taylor Charter Middle (Green Dot Charter Schools District),810-animo-james-b-taylor-charter-middle-,,True,False, 87.6923076923077
39,39,Charter,1655-animo-jefferson-charter-middle-,1655 E. 27th Street,(323) 232-1857,Animo Jefferson,"[('1655 animo jefferson charter middle', 90.0, '1655-animo-jefferson-charter-middle-')]",685,Animo Jefferson Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,1655 East 27th St.,Animo Jefferson Charter Middle (Green Dot Charter Schools District),1655-animo-jefferson-charter-middle-,,True,False, 90.0
40,40,Charter,11044-animo-leadership-high-,11044 S. Freeman Ave.,(310) 216-3277,Animo Leadership,"[('11044 animo leadership high', 95.0, '11044-animo-leadership-high-')]",679,Animo Leadership High (Green Dot Charter Schools District),Green Dot Charter Schools District,11044 South Freeman Ave.,Animo Leadership High (Green Dot Charter Schools District),11044-animo-leadership-high-,,True,False, 95.0
41,41,Charter,12226-animo-legacy-charter-middle-,12226 S Western Ave.,(323) 600-6099,Animo Legacy,"[('12226 animo legacy charter middle', 90.0, '12226-animo-legacy-charter-middle-')]",686,Animo Legacy Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,12226 South Western Ave.,Animo Legacy Charter Middle (Green Dot Charter Schools District),12226-animo-legacy-charter-middle-,,True,False, 90.0
42,42,Charter,,325 E 111th St.,(323) 420-2170,Animo Locke,[],0,Animo Locke (Charter),,,,,Charter,True,False,
43,43,Charter,12700-animo-mae-jemison-charter-middle-,12700 Avalon Blvd.,(323) 565-4450,Animo Mae Jemison,"[('12700 animo mae jemison charter middle', 90.0, '12700-animo-mae-jemison-charter-middle-')]",687,Animo Mae Jemison Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,12700 S. Avalon Blvd.,Animo Mae Jemison Charter Middle (Green Dot Charter Schools District),12700-animo-mae-jemison-charter-middle-,,True,False, 90.0
44,44,Charter,1114-oscar-de-la-hoya-animo-charter-high-,1114 S. Lorena Street,(323) 780-1259,Animo Oscar De La Hoya,"[('1114 oscar de la hoya animo charter high', 95.0, '1114-oscar-de-la-hoya-animo-charter-high-')]",675,Oscar De La Hoya Animo Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,1114 South Lorena St.,Oscar De La Hoya Animo Charter High (Green Dot Charter Schools District),1114-oscar-de-la-hoya-animo-charter-high-,,True,False, 95.0
45,45,Charter,8255-animo-pat-brown-,8205 Beach Street,(323) 585-3312,Animo Pat Brown,"[('8255 animo pat brown', 95.0, '8255-animo-pat-brown-')]",688,Animo Pat Brown (Green Dot Charter Schools District),Green Dot Charter Schools District,8255 Beach St.,Animo Pat Brown (Green Dot Charter Schools District),8255-animo-pat-brown-,,True,False, 95.0
46,46,Charter,1655-animo-ralph-bunche-charter-high-,1655 E. 27th Street,(323) 232-9436,Animo Ralph Bunche,"[('1655 animo ralph bunche charter high', 90.0, '1655-animo-ralph-bunche-charter-high-')]",689,Animo Ralph Bunche Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,1655 East 27th St.,Animo Ralph Bunche Charter High (Green Dot Charter Schools District),1655-animo-ralph-bunche-charter-high-,,True,False, 90.0
47,47,Charter,11130-animo-south-los-angeles-charter-,11130 Western Avenue,(323) 779-0544,Animo South Los Angeles,"[('11130 animo south los angeles charter', 95.0, '11130-animo-south-los-angeles-charter-')]",690,Animo South Los Angeles Charter (Green Dot Charter Schools District),Green Dot Charter Schools District,11130 Western Ave.,Animo South Los Angeles Charter (Green Dot Charter Schools District),11130-animo-south-los-angeles-charter-,,True,False, 95.0
48,48,Charter,820-animo-venice-charter-high-,820 Broadway Street,(310) 392-8751,Animo Venice,"[('820 animo venice charter high', 90.0, '820-animo-venice-charter-high-')]",691,Animo Venice Charter High (Green Dot Charter Schools District),Green Dot Charter Schools District,820 Broadway St.,Animo Venice Charter High (Green Dot Charter Schools District),820-animo-venice-charter-high-,,True,False, 90.0
49,49,Charter,12628-animo-watts-college-preparatory-academy-,12628 Avalon Blvd.,(323) 756-3930,Animo Watts,"[('12628 animo watts college preparatory academy', 90.0, '12628-animo-watts-college-preparatory-academy-')]",692,Animo Watts College Preparatory Academy (Green Dot Charter Schools District),Green Dot Charter Schools District,12628 Avalon Blvd.,Animo Watts College Preparatory Academy (Green Dot Charter Schools District),12628-animo-watts-college-preparatory-academy-,,True,False, 90.0
50,50,Charter,5456-animo-westside-charter-middle-,5456 McConnell Ave.,(323) 565-3251,Animo Westside,"[('5456 animo westside charter middle', 90.0, '5456-animo-westside-charter-middle-')]",693,Animo Westside Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,5456 McConnell Ave.,Animo Westside Charter Middle (Green Dot Charter Schools District),5456-animo-westside-charter-middle-,,True,False, 90.0
51,51,Charter,1309-apex-academy-/-matrix-for-success-academy-,"1309 N Wilton Place, 3rd Floor",(323) 817-6550,APEX Academy,"[('1309 apex academy   matrix for success academy', 90.0, '1309-apex-academy-/-matrix-for-success-academy-')]",878,APEX Academy / Matrix for Success Academy (Independent Charter Schools District),Independent Charter Schools District,"1309 North Wilton Pl., 3rd Fl.",APEX Academy / Matrix for Success Academy (Independent Charter Schools District),1309-apex-academy-/-matrix-for-success-academy-,,True,False, 90.0
52,52,Charter,,745 S. Kern Ave,(323) 266-4371,Arts in Action Charter (East LA),[],0,Arts in Action Charter (East LA) (Charter),,,,,Charter,True,False,
53,53,Charter,6100-aspire-antonio-maria-lugo-academy-,6100 Carmelita Avenue,(323) 585-1153,Aspire Antonio Maria Lugo Academy,"[('6100 aspire antonio maria lugo academy', 100.0, '6100-aspire-antonio-maria-lugo-academy-')]",137,Aspire Antonio Maria Lugo Academy (Aspire Public Schools District),Aspire Public Schools District,6100 Carmelita Ave.,Aspire Antonio Maria Lugo Academy (Aspire Public Schools District),6100-aspire-antonio-maria-lugo-academy-,,True,False, 100.0
54,54,Charter,2079-aspire-centennial-college-preparatory-academy-,2079 Saturn Ave,(323) 826-9616,Aspire Centennial College Preparatory Academy,"[('2079 aspire centennial college preparatory academy', 100.0, '2079-aspire-centennial-college-preparatory-academy-')]",139,Aspire Centennial College Preparatory Academy (Aspire Public Schools District),Aspire Public Schools District,2079 Saturn Ave.,Aspire Centennial College Preparatory Academy (Aspire Public Schools District),2079-aspire-centennial-college-preparatory-academy-,,True,False, 100.0
55,55,Charter,8929-aspire-firestone-academy-charter-,8929 Kauffman Ave,(323) 249-5740,Aspire Firestone Academy,"[('8929 aspire firestone academy charter', 95.0, '8929-aspire-firestone-academy-charter-')]",140,Aspire Firestone Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,Aspire Firestone Academy Charter (Aspire Public Schools District),8929-aspire-firestone-academy-charter-,,True,False, 95.0
56,56,Charter,8929-aspire-gateway-academy-charter-,8929 Kauffman Ave,(323) 249-5740,Aspire Gateway Charter Academy,"[('8929 aspire gateway academy charter', 95.0, '8929-aspire-gateway-academy-charter-')]",141,Aspire Gateway Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,Aspire Gateway Academy Charter (Aspire Public Schools District),8929-aspire-gateway-academy-charter-,,True,False, 95.0
57,57,Charter,123-aspire-inskeep-academy-charter-,123 W 59th St,(323) 515-0815,Aspire Inskeep Academy Charter,"[('123 aspire inskeep academy charter', 100.0, '123-aspire-inskeep-academy-charter-')]",142,Aspire Inskeep Academy Charter (Aspire Public Schools District),Aspire Public Schools District,123 West 59th St.,Aspire Inskeep Academy Charter (Aspire Public Schools District),123-aspire-inskeep-academy-charter-,,True,False, 100.0
58,58,Charter,6724-aspire-junior-collegiate-academy-,6724 S Alameda St,(323) 583-5421,Aspire Junior Collegiate Academy,"[('6724 aspire junior collegiate academy', 100.0, '6724-aspire-junior-collegiate-academy-')]",144,Aspire Junior Collegiate Academy (Aspire Public Schools District),Aspire Public Schools District,6724 South Alameda St.,Aspire Junior Collegiate Academy (Aspire Public Schools District),6724-aspire-junior-collegiate-academy-,,True,False, 100.0
59,59,Charter,2540-aspire-ollin-university-preparatory-academy-,2540 East 58th Street,(323) 277-2901,Aspire Ollin University Preparatory Academy,"[('2540 aspire ollin university preparatory academy', 100.0, '2540-aspire-ollin-university-preparatory-academy-')]",138,Aspire Ollin University Preparatory Academy (Aspire Public Schools District),Aspire Public Schools District,2540 East 58th St.,Aspire Ollin University Preparatory Academy (Aspire Public Schools District),2540-aspire-ollin-university-preparatory-academy-,,True,False, 100.0
60,60,Charter,2565-aspire-pacific-academy-,2565 58th St,(323) 589-2800,Aspire Pacific Academy,"[('2565 aspire pacific academy', 100.0, '2565-aspire-pacific-academy-')]",145,Aspire Pacific Academy (Aspire Public Schools District),Aspire Public Schools District,2565 58th St.,Aspire Pacific Academy (Aspire Public Schools District),2565-aspire-pacific-academy-,,True,False, 100.0
61,61,Charter,,123 W 59th St,(323) 240-4950,Aspire Slauson Academy Elementary,[],0,Aspire Slauson Academy Elementary (Charter),,,,,Charter,True,False,
62,62,Charter,,123 W 59th St,(323) 515-0815,Aspire Juanita Tate Academy Elementary,[],0,Aspire Juanita Tate Academy Elementary (Charter),,,,,Charter,True,False,
