,district,name,address,city,phone,email,original_name
34,Charter,animo-ellen-ochoa-4360-dozier-st-charter,4360 Dozier St.,Los Angeles,(323) 565-3245,aeo.cde@greendot.org,Animo Ellen Ochoa
35,Charter,animo-florence-firestone-155-w-69th-st-charter,155 W. 69th St.,Los Angeles,(323) 565-3280,,Animo Florence Firestone
36,Charter,animo-inglewood-3425-manchester-blvd-charter,3425 Manchester Blvd.,Inglewood,(323) 565-2100,,Animo Inglewood
37,Charter,animo-jackie-robinson-3500-s-hill-st-charter,3500 S. Hill St.,Los Angeles,(323) 846-5800,,Animo Jackie Robinson
38,Charter,animo-james-b-taylor-810-820-e-111th-place-charter,810-820 E. 111th Place,Los Angeles,(323) 568-8613,,Animo James B. Taylor
39,Charter,animo-jefferson-1655-e-27th-street-charter,1655 E. 27th Street,Los Angeles,(323) 232-1857,,Animo Jefferson
40,Charter,animo-leadership-11044-s-freeman-ave-charter,11044 S. Freeman Ave.,Los Angeles,(310) 216-3277,,Animo Leadership
41,Charter,animo-legacy-12226-s-western-ave-charter,12226 S Western Ave.,Los Angeles,(323) 600-6099,lgc.cde@greendot.org,Animo Legacy
42,Charter,animo-locke-325-e-111th-st-charter,325 E 111th St.,Los Angeles,(323) 420-2170,,Animo Locke
43,Charter,animo-mae-jemison-12700-avalon-blvd-charter,12700 Avalon Blvd.,Los Angeles,(323) 565-4450,mae.cde@greendot.org,Animo Mae Jemison
44,Charter,animo-oscar-de-la-hoya-1114-s-lorena-street-charter,1114 S. Lorena Street,Los Angeles,(323) 780-1259,,Animo Oscar De La Hoya
45,Charter,animo-pat-brown-8205-beach-street-charter,8205 Beach Street,Los Angeles,(323) 585-3312,,Animo Pat Brown
46,Charter,animo-ralph-bunche-1655-e-27th-street-charter,1655 E. 27th Street,Los Angeles,(323) 232-9436,,Animo Ralph Bunche
47,Charter,animo-south-los-angeles-11130-western-avenue-charter,11130 Western Avenue,Los Angeles,(323) 779-0544,sla.cde@greendot.org,Animo South Los Angeles
48,Charter,animo-venice-820-broadway-street-charter,820 Broadway Street,Venice,(310) 392-8751,,Animo Venice
49,Charter,animo-watts-12628-avalon-blvd-charter,12628 Avalon Blvd.,Los Angeles,(323) 756-3930,,Animo Watts
50,Charter,animo-westside-5456-mcconnell-ave-charter,5456 McConnell Ave.,Los Angeles,(323) 565-3251,Information Not Available,Animo Westside
51,Charter,"apex-academy-1309-n-wilton-place,-3rd-floor-charter","1309 N Wilton Place, 3rd Floor",Los Angeles,(323) 817-6550,,APEX Academy
52,Charter,arts-in-action-charter-(east-la)-745-s-kern-ave-charter,745 S. Kern Ave,Los Angeles,(323) 266-4371,,Arts in Action Charter (East LA)
53,Charter,aspire-antonio-maria-lugo-academy-6100-carmelita-avenue-charter,6100 Carmelita Avenue,Huntington Park,(323) 585-1153,,Aspire Antonio Maria Lugo Academy
54,Charter,aspire-centennial-college-preparatory-academy-2079-saturn-ave-charter,2079 Saturn Ave,Huntington Park,(323) 826-9616,data-contact@aspirepublicschools.org,Aspire Centennial College Preparatory Academy
55,Charter,aspire-firestone-academy-8929-kauffman-ave-charter,8929 Kauffman Ave,South Gate,(323) 249-5740,data-contact@aspirepublicschools.org,Aspire Firestone Academy
56,Charter,aspire-gateway-charter-academy-8929-kauffman-ave-charter,8929 Kauffman Ave,South Gate,(323) 249-5740,data-contact@aspirepublicschools.org,Aspire Gateway Charter Academy
57,Charter,aspire-inskeep-academy-charter-123-w-59th-st-charter,123 W 59th St,Los Angeles,(323) 515-0815,data-contact@aspirepublicschools.org,Aspire Inskeep Academy Charter
58,Charter,aspire-junior-collegiate-academy-6724-s-alameda-st-charter,6724 S Alameda St,Huntington Park,(323) 583-5421,data-contact@aspirepublicschools.org,Aspire Junior Collegiate Academy
59,Charter,aspire-ollin-university-preparatory-academy-2540-east-58th-street-charter,2540 East 58th Street,Huntington Park,(323) 277-2901,,Aspire Ollin University Preparatory Academy
60,Charter,aspire-pacific-academy-2565-58th-st-charter,2565 58th St,Huntington Park,(323) 589-2800,data-contact@aspirepublicschools.org,Aspire Pacific Academy
61,Charter,aspire-slauson-academy-elementary-123-w-59th-st-charter,123 W 59th St,Los Angeles,(323) 240-4950,,Aspire Slauson Academy Elementary
62,Charter,aspire-juanita-tate-academy-elementary-123-w-59th-st-charter,123 W 59th St,Los Angeles,(323) 515-0815,,Aspire Juanita Tate Academy Elementary
63,Charter,aspire-titan-academy-6720-s-alameda-st-charter,6720 S Alameda St,Huntington Park,(323) 583-5421,,Aspire Titan Academy
64,Charter,birmingham-community-high-school-17000-haynes-street-charter,17000 Haynes Street,Lake Balboa,(818) 758-5265,No Data,Birmingham Community High School
65,Charter,california-school-of-the-arts---san-gabriel-valley-1401-highland-avenue-charter,1401 Highland Avenue,Duarte,(657) 321.4000 ext. 60005,student.services@sgv.csarts.net,California School of the Arts - San Gabriel Valley
66,Charter,camino-nuevo-dalzell-lance-high-school-3500-west-temple-street-charter,3500 West Temple Street,Los Angeles,(213) 736-5566,,Camino Nuevo Dalzell Lance High School
67,Charter,champs-charter-high-school-of-the-arts-6842-van-nuys-blvd-(5th-floor)-charter,6842 Van Nuys Blvd (5th Floor),Van Nuys,(818) 994-7614 x503,,CHAMPS Charter High School of the Arts
68,Charter,conservation-corps-of-long-beach-340-nieto-avenue-charter,340 Nieto Avenue,Long Beach,(562) 577-0887,,Conservation Corps of Long Beach
69,Charter,davinci-rise-high-school-201-n-douglas-st-charter,201 N. Douglas St.,El Segundo,(562) 452-0297,,DaVinci RISE High School
70,Charter,ednovate--esperanza-college-prep-319-n-humphreys-ave-charter,319 N Humphreys Ave,Los Angeles,323-459-0325,ralanis@ednovate.org,Ednovate- Esperanza College Prep
71,Charter,ednovate-east-college-prep-3825-n-mission-rd-charter,3825 N Mission Rd,Los Angeles,323-285-1441,,Ednovate-East College Prep
72,Charter,ednovate---usc-hybrid-high-college-prep-3939-s-vermont-ave-charter,3939 S Vermont Ave,Los Angeles,213-929-1046,No Data,Ednovate - USC Hybrid High College Prep
73,Charter,ednovate-brio-college-prep-350-s-figueroa-st-ste-100-charter,350 S Figueroa St Ste 100,Los Angeles,323-446-2570,jcho@ednovate.org,Ednovate-Brio College Prep
74,Charter,ednovate---south-la-college-prep-700-wilshire-bl-ste-400-charter,700 Wilshire Bl Ste 400,Los Angeles,323-446-2570,No Data,Ednovate - South LA College Prep
75,Charter,el-camino-real-charter-high-school-5440-valley-circle-blvd-charter,5440 Valley Circle Blvd.,Woodland Hills,(818) 595-7500 ext. 7567,No Data,El Camino Real Charter High School
76,Charter,environmental-charter-high-school--–-gardena-(echs-g)-2818-manhattan-beach-blvd-charter,2818 Manhattan Beach Blvd,Gardena,(424) 295-9898,,Environmental Charter High School  – Gardena (ECHS-G)
77,Charter,environmental-charter-high-school-–-lawndale-(echs-l)-16315-grevillea-avenue-charter,16315 Grevillea Avenue,Lawndale,(310) 214-3400,,Environmental Charter High School – Lawndale (ECHS-L)
78,Charter,environmental-charter-middle-school-–-gardena-(ecms-g)-812-w-165th-place-charter,812 W. 165th Place,Gardena,(310) 425-1605,,Environmental Charter Middle School – Gardena (ECMS-G)
79,Charter,environmental-charter-middle-school-–-inglewood-(ecms-i)-3600-w-imperial-highway-charter,3600 W. Imperial Highway,Inglewood,(310) 793-0157,,Environmental Charter Middle School – Inglewood (ECMS-I)
80,Charter,gabriella-charter-schools-#1-11435-logan-street-charter,11435 Logan Street,Los Angeles,(213) 413-5741,,Gabriella Charter Schools #1
81,Charter,gabriella-charter-schools-#2-3736-trinity-street-charter,3736 Trinity Street,Los Angeles,(213) 413-5741,,Gabriella Charter Schools #2
82,Charter,icef-inglewood-elementary-charter-academy-434-s-grevillea-ave-charter,434 S. Grevillea Ave.,Inglewood,(323) 298-6420,No Data,ICEF Inglewood Elementary Charter Academy
83,Charter,icef-innovation-los-angeles-elementary-5029-s-vermont-ave-charter,5029 S. Vermont Ave,Los Angeles,(323) 290-6997,,ICEF Innovation Los Angeles Elementary
84,Charter,icef-view-park-preparatory-elementary-school-5311-s-crenshaw blvd-charter,5311 S. Crenshaw Blvd.,Los Angeles,(323) 290-6950/60,No Data,ICEF View Park Preparatory Elementary School
85,Charter,icef-view-park-preparatory-high-school-5701-s-crenshaw-blvd-charter,5701 S. Crenshaw Blvd,Los Angeles,(323) 290-6975,,ICEF View Park Preparatory High School
86,Charter,icef-view-park-preparatory-middle-school-5311-s-crenshaw-blvd-charter,5311 S. Crenshaw Blvd.,Los Angeles,(323) 290-6970,No Data,ICEF View Park Preparatory Middle School
87,Charter,icef-vista-elementary-charter-academy-4471-inglewood-blvd-charter,4471 Inglewood Blvd,Los Angeles,(323) 298-6400,No Data,ICEF Vista Elementary Charter Academy
88,Charter,icef-vista-middle-charter-academy-4471-inglewood-blvd-charter,4471 Inglewood Blvd,Los Angeles,(323) 298-6405,No Data,ICEF Vista Middle Charter Academy
89,Charter,intellectual-virtues-academy-of-long-beach-1637-long-beach-blvd-charter,1637 Long Beach Blvd.,Long Beach,(714) 697-8068,info@academylongbeach.org,Intellectual Virtues Academy of Long Beach
90,Charter,"larchmont-charter-school-444-n-larchmont-boulevard,-#207-charter","444 N. Larchmont Boulevard, #207",Los Angeles,(323) 380-7893,,Larchmont Charter School
91,Charter,libertas-college-preparatory-charter-school-5101-s-western-avenue-charter,5101 S. Western Avenue,Los Angeles,(323) 644-9861,No Data,Libertas College Preparatory Charter School
92,Charter,los-angeles-academy-of-arts-and-enterprise-(laaae)-1200-colton-st-charter,1200 Colton St.,Los Angeles,(213) 487-0600,,Los Angeles Academy of Arts and Enterprise (LAAAE)
93,Charter,matrix-academy-for-success-1010-e-34th-st-charter,1010 E 34th St.,Los Angeles,(323) 817-6550,,Matrix Academy for Success
94,Charter,new-designs-charter-school-1342-w-adams-blvd-charter,1342 W. Adams Blvd.,Los Angeles,(323) 730-0330,,New Designs Charter School
95,Charter,new-west-charter-1905-armacost-ave-charter,1905 Armacost Ave,Los Angeles,(310) 943-5444,sweir@newwestcharter.org,New West Charter
96,Charter,north-valley-military-institute-12105-allegheny-street-charter,12105 Allegheny Street,Sun Valley,(818) 368-1557 X 2215,,North Valley Military Institute
97,Charter,pacoima-charter-school-11016-norris-ave-charter,11016 Norris Ave.,Pacoima,(818) 897-5102,,Pacoima Charter School
98,Charter,para-los-ninos---evelyn-thurman-gratts-primary-center (tk-2)-474-hartford-avenue-charter,474 Hartford Avenue,Los Angeles,(213) 481-3200,,Para Los Ninos - Evelyn Thurman Gratts Primary Center (TK-2)
99,Charter,para-los-ninos----charter,,,,,Para Los Ninos -
100,Charter,russell-westbrook-why-not?-high-school--charter,,,,,Russell Westbrook Why Not? High School
101,Charter,russell-westbrook-why-not?-middle-school--charter,,,,,Russell Westbrook Why Not? Middle School
102,Charter,scholarship-prep-24910-s-avalon-blvd-charter,24910 S. Avalon Blvd,Wilmington,(760) 898-2715,,Scholarship Prep
103,Charter,synergy-academies--charter,,,,,Synergy Academies
104,Charter,time-community-schools--charter,,,,,TIME Community Schools
105,Charter,value-schools--charter,,,,,Value Schools
106,Charter,vaughn-next-century-learning-center--charter,,,,,Vaughn Next Century Learning Center
107,Charter,vox-collegiate--charter,,,,,Vox Collegiate
108,Charter,we-the-people-charter-school--charter,,,,,We the People Charter School
109,Charter,youthbuild-avalon-/-mary-b-henry-academy-4920-s-avalon-blvd-charter,4920 S. Avalon Blvd.,Los Angeles,(323) 750-7035,,YouthBuild Avalon / Mary B. Henry Academy
110,Charter,youthbuild-canoga-park-at-ruth-6925-canoga-ave-charter,6925 Canoga Ave.,Canoga Park,(818) 704-7884,,YouthBuild Canoga Park at R.U.T.H.
111,Charter,youthbuild-central-la-/-youth-justice-coalition-7625-s-central-ave-charter,7625 S. Central Ave.,Los Angeles,(323) 235-4243,,YouthBuild Central LA / Youth Justice Coalition
112,Charter,youthbuild-compton-1108-n-oleander-avenue-charter,1108 N. Oleander Avenue,Compton,(310) 631-2000,,YouthBuild Compton
113,Charter,youthbuild-east-la-110-s-garfield-ave-charter,110 S. Garfield Ave.,Montebello,(323) 887-2500,,YouthBuild East LA
114,Charter,youthbuild-el-monte-/-sgvcc-3041-peck-rd-charter,3041 Peck Rd.,El Monte,(626) 444-5337,,YouthBuild El Monte / SGVCC
115,Charter,youthbuild-lennox-/-sbwib-5021-lennox-blvd-charter,5021 Lennox Blvd.,Lennox,(310) 225-3060,,YouthBuild Lennox / SBWIB
116,Charter,"youthbuild-norwalk-/-field-of-dreams-12440-firestone-blvd,-suite-2001-charter","12440 Firestone Blvd., Suite 2001",Norwalk,(562) 409-5567,,YouthBuild Norwalk / Field of Dreams
117,Charter,youthbuild-pomona-/-sgvcc-305-e-arrow-hwy-charter,305 E Arrow Hwy.,Pomona,(909) 397-9955,,YouthBuild Pomona / SGVCC
118,Charter,youthbuild-south-la-/-crcd-academy-400-west-washington-blvd-charter,400 West Washington Blvd.,Los Angeles,(323) 642-7765,,YouthBuild South LA / CRCD Academy
119,Charter,youthbuild-west-adams-/-home-sweet-home-4103-west-adams-blvd-charter,4103 West Adams Blvd.,Los Angeles,(310) 256-6112 ,,YouthBuild West Adams / Home Sweet Home
120,Charter,youth-policy-institute-(ypi)-charter-schools--charter,,,,,Youth Policy Institute (YPI) Charter Schools
121,Culver City,culver-city-high-school-4401-elenda-street-culver-city,4401 Elenda Street,Culver City,(310) 842-4200,,Culver City High School
122,Culver City,culver-city-middle-school-4601-elenda-street-culver-city,4601 Elenda Street,Culver City,(310) 842-4200 x3335,,Culver City Middle School
123,Culver City,culver-city-unified-school-district-iacademy-4034-irving-place-culver-city,4034 Irving Place,Culver City,(310) 842-4220,,Culver City Unified School District iAcademy
124,Culver City,el-marino-elementary-11450-port-rd-culver-city,11450 Port Rd,Culver City, (3l0) 842-4241,No Data,El Marino Elementary
125,Culver City,el-rincon-elementary-11177-overland-avenue-culver-city,11177 Overland Avenue,Culver City,(310) 842-4340,No Data,El Rincon Elementary
126,Culver City,farragut-elementary-10820-farragut-drive-culver-city,10820 Farragut Drive,Culver City,(310) 842-4323,No Data,Farragut Elementary
127,Culver City,la-ballona-elementary-10915-washington-blvd-culver-city,10915 Washington Blvd.,Culver City,(310) 842-4334,No Data,La Ballona Elementary
128,Culver City,linwood-e-howe-elementary-4100-irving-place-culver-city,4100 Irving Place,Culver City,(310) 842-4338,No Data,Linwood E. Howe Elementary
129,Duarte,andres-duarte-arts-academy-(pk-8)-1433-crestfield-drive-duarte,1433 Crestfield Drive,Duarte,(626) 599-5100,No Data,Andres Duarte Arts Academy (PK-8)
130,Duarte,beardslee-dual-language-immersion-academy-(pk-8)-1212-kellwill-way-duarte,1212 Kellwill Way,Duarte,(626) 599-5200,No Data,Beardslee Dual Language Immersion Academy (PK-8)
131,Duarte,duarte-high-1565-central-ave-duarte,1565 Central Ave,Duarte,(626) 599-5700,No Data,Duarte High
132,Duarte,maxwell-academy-(pk-8)-733-euclid-ave-duarte,733 Euclid Ave,Duarte,(626) 599-5300,No Data,Maxwell Academy (PK-8)
133,Duarte,mt-olive-innovation-and-technology-high-1400-mount-olive-drive-duarte,1400 Mount Olive Drive,Duarte,(626) 599-5901,No Data,Mt. Olive Innovation and Technology High
134,Duarte,royal-oaks-steam-academy-(k-8)-2499-royal-oaks-drive-duarte,2499 Royal Oaks Drive,Duarte,(626) 599-5400,No Data,Royal Oaks STEAM Academy (K-8)
135,Duarte,valley-view-academy-of-technology-and-creative-learning-(tk-6)-237-mel-canyon-rd-duarte,237 Mel Canyon Rd.,Duarte,(626) 599-5500,No Data,Valley View Academy of Technology and Creative Learning (TK-6)
136,El Rancho,birney-tech-academy--el-rancho,,,(562) 801-7600,No Data,Birney Tech Academy
137,El Rancho,durfee-elementary--el-rancho,,,(562) 801-7610,No Data,Durfee Elementary
138,El Rancho,el-rancho-high--el-rancho,,,(562) 801-7500,No Data,El Rancho High
139,El Rancho,ellen-ochoa-prep-academy--el-rancho,,,Information Not Available,No Data,Ellen Ochoa Prep Academy
140,El Rancho,magee-academy-of-arts-&-sciences--el-rancho,,,(562) 801-7620,No Data,Magee Academy of Arts & Sciences
141,El Rancho,north-park-academy-of-the-arts--el-rancho,,,(562) 801-7570,No Data,North Park Academy of the Arts
142,El Rancho,north-ranchito-elementary--el-rancho,,,(562) 801-7630,No Data,North Ranchito Elementary
143,El Rancho,rio-vista-elementary--el-rancho,,,(562) 801-7640,No Data,Rio Vista Elementary
144,El Rancho,rivera-elementary--el-rancho,,,(562) 801-7650,No Data,Rivera Elementary
145,El Rancho,rivera-middle--el-rancho,,,(562) 801-7580,No Data,Rivera Middle
146,El Rancho,ruben-salazar-continuation--el-rancho,,,(562) 801-7680,No Data,Ruben Salazar Continuation
147,El Rancho,south-ranchito-dual-language-academy--el-rancho,,,(562) 801-7660,No Data,South Ranchito Dual Language Academy
148,El Rancho,steam-academy-@-burke--el-rancho,,,(562) 801-7590,No Data,STEAM Academy @ Burke
149,El Rancho,valencia-academy-of-the-arts--el-rancho,,,(562) 801-7670,No Data,Valencia Academy of the Arts
150,LAUSD,107th-street-elementary-147-e-107th-st-lausd,147 E 107th St,Los Angeles,323-756-8137,No Data,107th Street Elementary
151,LAUSD,one-hundred-seventh-street/107th-street-elementary-science/tech/eng/arts/math-magnet-147-e-107th-st-lausd,147 E 107th St,Los Angeles,323-756-8137,,One Hundred Seventh Street/107th Street Elementary Science/Tech/Eng/Arts/Math Magnet
152,LAUSD,one-hundred-ninth-street-elementary/109th-street-elementary-10915-s-mc-kinley-ave-lausd,10915 S Mc Kinley Ave,Los Angeles,323-756-9206,,One Hundred Ninth Street Elementary/109th Street Elementary
153,LAUSD,10th-street-elementary-1000-grattan-st-lausd,1000 Grattan St,Los Angeles,213-380-8990,No Data,10th Street Elementary
154,LAUSD,112th-street-elementary-1265-e-112th-st-lausd,1265 E 112th St,Los Angeles,323-567-2108,No Data,112th Street Elementary
155,LAUSD,116th-street-elementary-11610-stanford-ave-lausd,11610 Stanford Ave,Los Angeles,323-754-3121,No Data,116th Street Elementary
156,LAUSD,one-hundred-sixteenth-street/116th-street-elementary-dl-two-way-im-spanish-11610-stanford-ave-lausd,11610 Stanford Ave,Los Angeles,323-754-3121,,One Hundred Sixteenth Street/116th Street Elementary DL Two-Way Im Spanish
157,LAUSD,one-hundred-eighteenth-street/118th-street-elementary-144-e-118th-st-lausd,144 E 118th St,Los Angeles,323-757-1717,,One Hundred Eighteenth Street/118th Street Elementary
158,LAUSD,one-hundred-eighteenth-street/118th-street-elementary-dl-two-way-im-spanish-144-e-118th-st-lausd,144 E 118th St,Los Angeles,323-757-1717,,One Hundred Eighteenth Street/118th Street Elementary DL Two-Way Im Spanish
159,LAUSD,one-hundred-twenty-second-street/122nd-street-elementary-405-e-122nd-st-lausd,405 E 122nd St,Los Angeles,323-757-8117,,One Hundred Twenty-Second Street/122nd Street Elementary
160,LAUSD,one-hundred-twenty-second-street/122nd-street-elementary-dl-two-way-im-spanish-405-e-122nd-st-lausd,405 E 122nd St,Los Angeles,323-757-8117,,One Hundred Twenty-Second Street/122nd Street Elementary DL Two-Way Im Spanish
161,LAUSD,one-hundred-thirty-fifth-street/135th-street-elementary-801-w-135th-st-lausd,801 W 135th St,Gardena,310-324-4454,,One Hundred Thirty-Fifth Street/135th Street Elementary
162,LAUSD,one-hundred-thirty-fifth-street/135th-street-elementary-dl-two-way-im-spanish-801-w-135th-st-lausd,801 W 135th St,Gardena,310-324-4454,,One Hundred Thirty-Fifth Street/135th Street Elementary DL Two-Way Im Spanish
163,LAUSD,one-hundred-fifty-third-street/153rd-street-elementary-1605-w-153rd-st-lausd,1605 W 153rd St,Gardena,310-323-1029,,One Hundred Fifty-Third Street/153rd Street Elementary
164,LAUSD,one-hundred-fifty-third-street/153rd-street-elementary-dl-two-way-im-spanish-1605-w-153rd-st-lausd,1605 W 153rd St,Gardena,310-323-1029,,One Hundred Fifty-Third Street/153rd Street Elementary DL Two-Way Im Spanish
165,LAUSD,156th-street-elementary-2100-w-156th-st-lausd,2100 W 156th St,Gardena,310-324-6639,No Data,156th Street Elementary
166,LAUSD,15th-street-elementary-1527-s-mesa-st-lausd,1527 S Mesa St,San Pedro,310-547-3323,No Data,15th Street Elementary
167,LAUSD,186th-street-elementary-1581-w-186th-st-lausd,1581 W 186th St,Gardena,310-324-1153,No Data,186th Street Elementary
168,LAUSD,1st-street-elementary-2820-e-first-st-lausd,2820 E First St,Los Angeles,323-269-0138,No Data,1st Street Elementary
169,LAUSD,twentieth-street-elementary/20th-street-elementary-1353-e-20th-st-lausd,1353 E 20th St,Los Angeles,213-747-7151,,Twentieth Street Elementary/20th Street Elementary
170,LAUSD,twentieth-street-elementary/20th-street-elementary-dl-two-way-im-spanish-1353-e-20th-st-lausd,1353 E 20th St,Los Angeles,213-747-7151,,Twentieth Street Elementary/20th Street Elementary DL Two-Way Im Spanish
171,LAUSD,two-hundred-thirty-second-place/232nd-place-elementary-23240-archibald-ave-lausd,23240 Archibald Ave,Carson,310-830-8710,,Two Hundred Thirty-Second Place/232nd Place Elementary
172,LAUSD,two-hundred-thirty-second-place/232nd-place-elementary-stemm-magnet-23240-archibald-ave-lausd,23240 Archibald Ave,Carson,310-830-8710,,Two Hundred Thirty-Second Place/232nd Place Elementary STEMM Magnet
173,LAUSD,24th-street-elementary-2055-w-24th-st-lausd,2055 W 24th St,Los Angeles,323-735-0278,No Data,24th Street Elementary
174,LAUSD,28th-street-elementary-2807-stanford-ave-lausd,2807 Stanford Ave,Los Angeles,323-232-3496,No Data,28th Street Elementary
