id,index,district_x,name_x,address_x,phone,original_name_x,devons_key,participating,Match,rowid,school,district_y,address_y,original_name_y,name_y,tap_key,simple_name,district,duped,score
14,14,Charter,,1114 S. Lorena Street,(323) 780-1259,Animo Oscar De La Hoya,1114-s-lorena-street-animo-oscar-de-la-hoya,True,[],0,Animo Oscar De La Hoya (Charter),,,,,,,Charter,False,
15,15,Charter,,1655 E. 27th Street,(323) 232-9436,Animo Ralph Bunche,1655-e-27th-street-animo-ralph-bunche,True,[],0,Animo Ralph Bunche (Charter),,,,,,,Charter,False,
16,16,Charter,,820 Broadway Street,(310) 392-8751,Animo Venice,820-broadway-street-animo-venice,True,[],0,Animo Venice (Charter),,,,,,,Charter,False,
17,17,Charter,,"1309 N Wilton Place, 3rd Floor",(323) 817-6550,APEX Academy,"1309-n-wilton-place,-3rd-floor-apex-academy",True,[],0,APEX Academy (Charter),,,,,,,Charter,False,
18,18,Charter,,745 S. Kern Ave,(323) 266-4371,Arts in Action Charter (East LA),745-s-kern-ave-arts-in-action-charter-(east-la),True,[],0,Arts in Action Charter (East LA) (Charter),,,,,,,Charter,False,
19,19,Charter,,123 W 59th St,(323) 240-4950,Aspire Slauson Academy Elementary,123-w-59th-st-aspire-slauson-academy-elementary,True,[],0,Aspire Slauson Academy Elementary (Charter),,,,,,,Charter,False,
20,20,Charter,,123 W 59th St,(323) 515-0815,Aspire Juanita Tate Academy Elementary,123-w-59th-st-aspire-juanita-tate-academy-elementary,True,[],0,Aspire Juanita Tate Academy Elementary (Charter),,,,,,,Charter,False,
21,21,Charter,,17000 Haynes Street,(818) 758-5265,Birmingham Community High School,17000-haynes-street-birmingham-community-high-school,True,[],0,Birmingham Community High School (Charter),,,,,,,Charter,False,
22,22,Charter,,201 N. Douglas St.,(562) 452-0297,DaVinci RISE High School,201-n-douglas-st-davinci-rise-high-school,True,[],0,DaVinci RISE High School (Charter),,,,,,,Charter,False,
23,23,Charter,,2818 Manhattan Beach Blvd,(424) 295-9898,Environmental Charter High School  – Gardena (ECHS-G),2818-manhattan-beach-blvd-environmental-charter-high-school--–-gardena-(echs-g),True,[],0,Environmental Charter High School  – Gardena (ECHS-G) (Charter),,,,,,,Charter,False,
24,24,Charter,,16315 Grevillea Avenue,(310) 214-3400,Environmental Charter High School – Lawndale (ECHS-L),16315-grevillea-avenue-environmental-charter-high-school-–-lawndale-(echs-l),True,[],0,Environmental Charter High School – Lawndale (ECHS-L) (Charter),,,,,,,Charter,False,
25,25,Charter,,812 W. 165th Place,(310) 425-1605,Environmental Charter Middle School – Gardena (ECMS-G),812-w-165th-place-environmental-charter-middle-school-–-gardena-(ecms-g),True,[],0,Environmental Charter Middle School – Gardena (ECMS-G) (Charter),,,,,,,Charter,False,
26,26,Charter,,11435 Logan Street,(213) 413-5741,Gabriella Charter Schools #1,11435-logan-street-gabriella-charter-schools-#1,True,[],0,Gabriella Charter Schools #1 (Charter),,,,,,,Charter,False,
27,27,Charter,,5029 S. Vermont Ave,(323) 290-6997,ICEF Innovation Los Angeles Elementary,5029-s-vermont-ave-icef-innovation-los-angeles-elementary,True,[],0,ICEF Innovation Los Angeles Elementary (Charter),,,,,,,Charter,False,
28,28,Charter,,1637 Long Beach Blvd.,(714) 697-8068,Intellectual Virtues Academy of Long Beach,1637-long-beach-blvd-intellectual-virtues-academy-of-long-beach,True,[],0,Intellectual Virtues Academy of Long Beach (Charter),,,,,,,Charter,False,
29,29,Charter,,"444 N. Larchmont Boulevard, #207",(323) 380-7893,Larchmont Charter School,"444-n-larchmont-boulevard,-#207-larchmont-charter-school",True,[],0,Larchmont Charter School (Charter),,,,,,,Charter,False,
30,30,Charter,,5101 S. Western Avenue,(323) 644-9861,Libertas College Preparatory Charter School,5101-s-western-avenue-libertas-college-preparatory-charter-school,True,[],0,Libertas College Preparatory Charter School (Charter),,,,,,,Charter,False,
31,31,Charter,,1342 W. Adams Blvd.,(323) 730-0330,New Designs Charter School,1342-w-adams-blvd-new-designs-charter-school,True,[],0,New Designs Charter School (Charter),,,,,,,Charter,False,
32,32,Charter,,11016 Norris Ave.,(818) 897-5102,Pacoima Charter School,11016-norris-ave-pacoima-charter-school,True,[],0,Pacoima Charter School (Charter),,,,,,,Charter,False,
33,33,Charter,,,,Russell Westbrook Why Not? High School,russell-westbrook-why-not?-high-school,True,[],0,Russell Westbrook Why Not? High School (Charter),,,,,,,Charter,False,
34,34,Charter,,,,Russell Westbrook Why Not? Middle School,russell-westbrook-why-not?-middle-school,True,[],0,Russell Westbrook Why Not? Middle School (Charter),,,,,,,Charter,False,
35,35,Charter,,,,Synergy Academies,synergy-academies,True,[],0,Synergy Academies (Charter),,,,,,,Charter,False,
36,36,Charter,,,,TIME Community Schools,time-community-schools,True,[],0,TIME Community Schools (Charter),,,,,,,Charter,False,
37,37,Charter,,,,Value Schools,value-schools,True,[],0,Value Schools (Charter),,,,,,,Charter,False,
38,38,Charter,,,,We the People Charter School,we-the-people-charter-school,True,[],0,We the People Charter School (Charter),,,,,,,Charter,False,
39,39,Charter,,"12440 Firestone Blvd., Suite 2001",(562) 409-5567,YouthBuild Norwalk / Field of Dreams,"12440-firestone-blvd,-suite-2001-youthbuild-norwalk-/-field-of-dreams",True,[],0,YouthBuild Norwalk / Field of Dreams (Charter),,,,,,,Charter,False,
40,40,Charter,,4103 West Adams Blvd.,(310) 256-6112 ,YouthBuild West Adams / Home Sweet Home,4103-west-adams-blvd-youthbuild-west-adams-/-home-sweet-home,True,[],0,YouthBuild West Adams / Home Sweet Home (Charter),,,,,,,Charter,False,
41,41,Charter,,,,Youth Policy Institute (YPI) Charter Schools,youth-policy-institute-(ypi)-charter-schools,True,[],0,Youth Policy Institute (YPI) Charter Schools (Charter),,,,,,,Charter,False,
42,42,Culver City,,4034 Irving Place,(310) 842-4220,Culver City Unified School District iAcademy,4034-irving-place-culver-city-unified-school-district-iacademy,True,[],0,Culver City Unified School District iAcademy (Culver City),,,,,,,Culver City,False,
43,43,Duarte,,1400 Mount Olive Drive,(626) 599-5901,Mt. Olive Innovation and Technology High,1400-mount-olive-drive-mt-olive-innovation-and-technology-high,True,[],0,Mt. Olive Innovation and Technology High (Duarte),,,,,,,Duarte,False,
44,44,LAUSD,,147 E 107th St,323-756-8137,107th Street Elementary,147-e-107th-st-107th-street-elementary,True,[],0,107th Street Elementary (LAUSD),,,,,,,LAUSD,False,
45,45,LAUSD,,147 E 107th St,323-756-8137,One Hundred Seventh Street/107th Street Elementary Science/Tech/Eng/Arts/Math Magnet,147-e-107th-st-one-hundred-seventh-street/107th-street-elementary-science/tech/eng/arts/math-magnet,True,[],0,One Hundred Seventh Street/107th Street Elementary Science/Tech/Eng/Arts/Math Magnet (LAUSD),,,,,,,LAUSD,False,
46,46,LAUSD,,1000 Grattan St,213-380-8990,10th Street Elementary,1000-grattan-st-10th-street-elementary,True,[],0,10th Street Elementary (LAUSD),,,,,,,LAUSD,False,
47,47,LAUSD,,1265 E 112th St,323-567-2108,112th Street Elementary,1265-e-112th-st-112th-street-elementary,True,[],0,112th Street Elementary (LAUSD),,,,,,,LAUSD,False,
48,48,LAUSD,,11610 Stanford Ave,323-754-3121,116th Street Elementary,11610-stanford-ave-116th-street-elementary,True,[],0,116th Street Elementary (LAUSD),,,,,,,LAUSD,False,
49,49,LAUSD,,144 E 118th St,323-757-1717,One Hundred Eighteenth Street/118th Street Elementary DL Two-Way Im Spanish,144-e-118th-st-one-hundred-eighteenth-street/118th-street-elementary-dl-two-way-im-spanish,True,[],0,One Hundred Eighteenth Street/118th Street Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
50,50,LAUSD,,2100 W 156th St,310-324-6639,156th Street Elementary,2100-w-156th-st-156th-street-elementary,True,[],0,156th Street Elementary (LAUSD),,,,,,,LAUSD,False,
51,51,LAUSD,,1581 W 186th St,310-324-1153,186th Street Elementary,1581-w-186th-st-186th-street-elementary,True,[],0,186th Street Elementary (LAUSD),,,,,,,LAUSD,False,
52,52,LAUSD,,1353 E 20th St,213-747-7151,Twentieth Street Elementary/20th Street Elementary DL Two-Way Im Spanish,1353-e-20th-st-twentieth-street-elementary/20th-street-elementary-dl-two-way-im-spanish,True,[],0,Twentieth Street Elementary/20th Street Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
53,53,LAUSD,,2055 W 24th St,323-735-0278,24th Street Elementary,2055-w-24th-st-24th-street-elementary,True,[],0,24th Street Elementary (LAUSD),,,,,,,LAUSD,False,
54,54,LAUSD,,2807 Stanford Ave,323-232-3496,Twenty-Eighth Street Elementary/28th Street Elementary DL One-Way Im Spanish,2807-stanford-ave-twenty-eighth-street-elementary/28th-street-elementary-dl-one-way-im-spanish,True,[],0,Twenty-Eighth Street Elementary/28th Street Elementary DL One-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
55,55,LAUSD,,822 W 32nd St,213-748-0126,32nd Street USC Performing Arts Magnet,822-w-32nd-st-32nd-street-usc-performing-arts-magnet,True,[],0,32nd Street USC Performing Arts Magnet (LAUSD),,,,,,,LAUSD,False,
56,56,LAUSD,,201 S June St,323-939-8337,Third Street Elementary/3rd Street Elementary DL Two-Way Im Korean,201-s-june-st-third-street-elementary/3rd-street-elementary-dl-two-way-im-korean,True,[],0,Third Street Elementary/3rd Street Elementary DL Two-Way Im Korean (LAUSD),,,,,,,LAUSD,False,
57,57,LAUSD,,4231 4th Ave,323-296-7550,Forty-Second Street/42nd Street Elementary DL World Lang Im Spanish,4231-4th-ave-forty-second-street/42nd-street-elementary-dl-world-lang-im-spanish,True,[],0,Forty-Second Street/42nd Street Elementary DL World Lang Im Spanish (LAUSD),,,,,,,LAUSD,False,
58,58,LAUSD,,750 E 49th St,323-234-9045,49th Street Elementary,750-e-49th-st-49th-street-elementary,True,[],0,49th Street Elementary (LAUSD),,,,,,,LAUSD,False,
59,59,LAUSD,,469 Amalia Ave,323-268-8775,4th Street Primary Center DL Two-Way Im Spanish,469-amalia-ave-4th-street-primary-center-dl-two-way-im-spanish,True,[],0,4th Street Primary Center DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,True,
60,60,LAUSD,,469 Amalia Ave,323-268-8775,4th Street Primary Center DL Two-Way Im Spanish,469-amalia-ave-4th-street-primary-center-dl-two-way-im-spanish,True,[],0,4th Street Primary Center DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,True,
61,61,LAUSD,,816 W 51st St,323-753-3175,52nd Street Elementary,816-w-51st-st-52nd-street-elementary,True,[],0,52nd Street Elementary (LAUSD),,,,,,,LAUSD,False,
62,62,LAUSD,,5501 S Eileen Ave,323-294-5275,54th Street Elementary,5501-s-eileen-ave-54th-street-elementary,True,[],0,54th Street Elementary (LAUSD),,,,,,,LAUSD,False,
63,63,LAUSD,,2112 W 74th St,323-753-2338,74th Street Elementary,2112-w-74th-st-74th-street-elementary,True,[],0,74th Street Elementary (LAUSD),,,,,,,LAUSD,False,
64,64,LAUSD,,142 W 75th St,323-971-8885,75th Street Elementary,142-w-75th-st-75th-street-elementary,True,[],0,75th Street Elementary (LAUSD),,,,,,,LAUSD,False,
65,65,LAUSD,,1570 W 7th St,310-832-1538,7th Street Elementary Arts Integration Magnet,1570-w-7th-st-7th-street-elementary-arts-integration-magnet,True,[],0,7th Street Elementary Arts Integration Magnet (LAUSD),,,,,,,LAUSD,False,
66,66,LAUSD,,330 E 93rd St,323-754-2869,93rd Street Elementary,330-e-93rd-st-93rd-street-elementary,True,[],0,93rd Street Elementary (LAUSD),,,,,,,LAUSD,False,
67,67,LAUSD,,1109 W 96th St,323-756-1466,95th Street Elementary,1109-w-96th-st-95th-street-elementary,True,[],0,95th Street Elementary (LAUSD),,,,,,,LAUSD,False,
68,68,LAUSD,,1471 E 96th St,323-567-8871,96th Street Elementary,1471-e-96th-st-96th-street-elementary,True,[],0,96th Street Elementary (LAUSD),,,,,,,LAUSD,False,
69,69,LAUSD,,1048 W 149th St,310-327-5592,Amestoy El DL Two-Way Im Japanese,1048-w-149th-st-amestoy-el-dl-two-way-im-japanese,True,[],0,Amestoy El DL Two-Way Im Japanese (LAUSD),,,,,,,LAUSD,False,
70,70,LAUSD,,2611 W 52nd St,323-294-5103,Angeles Mesa El DREAMS Magnet,2611-w-52nd-st-angeles-mesa-el-dreams-magnet,True,[],0,Angeles Mesa El DREAMS Magnet (LAUSD),,,,,,,LAUSD,False,
71,71,LAUSD,,1717 7th Av,323-735-1021,Arlington Heights Elementary DL Two-Way Im Spanish,1717-7th-av-arlington-heights-elementary-dl-two-way-im-spanish,True,[],0,Arlington Heights Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
72,72,LAUSD,,1050 E 52nd Pl,323-238-1500,Aurora Elementary DL Two-Way Im Spanish,1050-e-52nd-pl-aurora-elementary-dl-two-way-im-spanish,True,[],0,Aurora Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
73,73,LAUSD,,1700 W 46th St,323-421-1700,Barack Obama Global Prep Academy STEAM Magnet,1700-w-46th-st-barack-obama-global-prep-academy-steam-magnet,True,[],0,Barack Obama Global Prep Academy STEAM Magnet (LAUSD),,,,,,,LAUSD,False,
74,74,LAUSD,,15756 Bassett St,818-782-1340,Bassett St Elementary Media Arts/ Technology Magnet,15756-bassett-st-bassett-st-elementary-media-arts/-technology-magnet,True,[],0,Bassett St Elementary Media Arts/ Technology Magnet (LAUSD),,,,,,,LAUSD,False,
75,75,LAUSD,,312 N Record Ave,323-266-5468,Belvedere Middle School Media/Communications Magnet,312-n-record-ave-belvedere-middle-school-media/communications-magnet,True,[],0,Belvedere Middle School Media/Communications Magnet (LAUSD),,,,,,,LAUSD,False,
76,76,LAUSD,,820 N Avenue 54,323-550-2000,Benjamin Franklin High School,820-n-avenue-54-benjamin-franklin-high-school,True,[],0,Benjamin Franklin High School (LAUSD),,,,,,,LAUSD,False,
77,77,LAUSD,,820 N Avenue 54,323-550-2000,Benjamin Franklin High School Dual Language Academy Magnet,820-n-avenue-54-benjamin-franklin-high-school-dual-language-academy-magnet,True,[],0,Benjamin Franklin High School Dual Language Academy Magnet (LAUSD),,,,,,,LAUSD,False,
78,78,LAUSD,,820 N Avenue 54,323-550-2078,Benjamin Franklin High School Science/Tech/Math Magnet,820-n-avenue-54-benjamin-franklin-high-school-science/tech/math-magnet,True,[],0,Benjamin Franklin High School Science/Tech/Math Magnet (LAUSD),,,,,,,LAUSD,False,
79,79,LAUSD,,1157 S Berendo St,213-739-5600,Berendo Middle School,1157-s-berendo-st-berendo-middle-school,True,[],0,Berendo Middle School (LAUSD),,,,,,,LAUSD,False,
80,80,LAUSD,,2550 E 6th St,323-268-1031,Boyle Heights HS STEM Magnet,2550-e-6th-st-boyle-heights-hs-stem-magnet,True,[],0,Boyle Heights HS STEM Magnet (LAUSD),,,,,,,LAUSD,False,
81,81,LAUSD,,732 S Cabrillo Ave,310-832-6446,Cabrillo Av El STEAM Magnet,732-s-cabrillo-ave-cabrillo-av-el-steam-magnet,True,[],0,Cabrillo Av El STEAM Magnet (LAUSD),,,,,,,LAUSD,False,
82,82,LAUSD,,22328 S Main St,310-847-1455,Carson Senior High - Academy of Education and Empowerment,22328-s-main-st-carson-senior-high---academy-of-education-and-empowerment,True,[],0,Carson Senior High - Academy of Education and Empowerment (LAUSD),,,,,,,LAUSD,False,
83,83,LAUSD,,22328 S Main St,310-537-1980,Carson Senior High Musical Ent/Digital Art Magnet,22328-s-main-st-carson-senior-high-musical-ent/digital-art-magnet,True,[],0,Carson Senior High Musical Ent/Digital Art Magnet (LAUSD),,,,,,,LAUSD,False,
84,84,LAUSD,,3200 W Washington Bl,323-766-5500,Carson-Gore Elementary DL Two-Way Im Spanish,3200-w-washington-bl-carson-gore-elementary-dl-two-way-im-spanish,True,[],0,Carson-Gore Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
85,85,LAUSD,,5243 Oakland St,323-276-1440,Cesar Chavez Elementary School,5243-oakland-st-cesar-chavez-elementary-school,True,[],0,Cesar Chavez Elementary School (LAUSD),,,,,,,LAUSD,False,
86,86,LAUSD,,22005 Devonshire St,818-341-1371,Chatsworth Park Elementary UP/CD Magnet,22005-devonshire-st-chatsworth-park-elementary-up/cd-magnet,True,[],0,Chatsworth Park Elementary UP/CD Magnet (LAUSD),,,,,,,LAUSD,False,
87,87,LAUSD,,22250 Elkwood St,818-702-1200,Christopher Columbus MS Medical/Math/Science Magnet,22250-elkwood-st-christopher-columbus-ms-medical/math/science-magnet,True,[],0,Christopher Columbus MS Medical/Math/Science Magnet (LAUSD),,,,,,,LAUSD,False,
88,88,LAUSD,,6850 Coldwater Canyon Av,818-765-6634,Coldwater Canyon DL Two-Way Im Spanish,6850-coldwater-canyon-av-coldwater-canyon-dl-two-way-im-spanish,True,[],0,Coldwater Canyon DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
89,89,LAUSD,,22250 Elkwood St,818-702-1200,Columbus Middle School Media Arts/Comm Magnet,22250-elkwood-st-columbus-middle-school-media-arts/comm-magnet,True,[],0,Columbus Middle School Media Arts/Comm Magnet (LAUSD),,,,,,,LAUSD,False,
90,90,LAUSD,,5010 11th Ave,323-290-7800,Crenshaw Magnets: Science Tech Engineer Math & Medicine,5010-11th-ave-crenshaw-magnets:-science-tech-engineer-math-&-medicine,True,[],0,Crenshaw Magnets: Science Tech Engineer Math & Medicine (LAUSD),,,,,,,LAUSD,False,
91,91,LAUSD,,7850 Melrose Ave,323-370-1223,CTC - West,7850-melrose-ave-ctc---west,True,[],0,CTC - West (LAUSD),,,,,,,LAUSD,False,
92,92,LAUSD,,1081 W Temple St,213-481-0371,Downtown Computer Sci/Digital Media Arts/Eng Magnet,1081-w-temple-st-downtown-computer-sci/digital-media-arts/eng-magnet,True,[],0,Downtown Computer Sci/Digital Media Arts/Eng Magnet (LAUSD),,,,,,,LAUSD,False,
93,93,LAUSD,,3737 S Figueroa St,213-746-1995,Dr Theodore T Alexander Jr Science Ctr DL Two-Way Im Spanish,3737-s-figueroa-st-dr-theodore-t-alexander-jr-science-ctr-dl-two-way-im-spanish,True,[],0,Dr Theodore T Alexander Jr Science Ctr DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
94,94,LAUSD,,1200 W Colton St,213-580-6400,Edward R Roybal LC Innov Cine Arts/Music Prod Magnet,1200-w-colton-st-edward-r-roybal-lc-innov-cine-arts/music-prod-magnet,True,[],0,Edward R Roybal LC Innov Cine Arts/Music Prod Magnet (LAUSD),,,,,,,LAUSD,False,
95,95,LAUSD,,2839 N Eastern Ave,323-224-4700,El Sereno Middle School Env Sci/Humanitarian Magnet,2839-n-eastern-ave-el-sereno-middle-school-env-sci/humanitarian-magnet,True,[],0,El Sereno Middle School Env Sci/Humanitarian Magnet (LAUSD),,,,,,,LAUSD,False,
96,96,LAUSD,,2839 N Eastern Ave,323-224-4700,El Sereno Middle School Science/Tech/Math Magnet,2839-n-eastern-ave-el-sereno-middle-school-science/tech/math-magnet,True,[],0,El Sereno Middle School Science/Tech/Math Magnet (LAUSD),,,,,,,LAUSD,False,
97,97,LAUSD,,10001 Jumilla Ave,213-239-5656,Elementary Community Day School,10001-jumilla-ave-elementary-community-day-school,True,[],0,Elementary Community Day School (LAUSD),,,,,,,LAUSD,False,
98,98,LAUSD,,4811 Elizabeth St,323-271-3600,Elizabeth LC DL Two-Way Im Arabic,4811-elizabeth-st-elizabeth-lc-dl-two-way-im-arabic,True,[],0,Elizabeth LC DL Two-Way Im Arabic (LAUSD),,,,,,,LAUSD,False,
99,99,LAUSD,,5027 Live Oak St,323-869-1300,Ellen Ochoa LC DL Two-Way Im Spanish,5027-live-oak-st-ellen-ochoa-lc-dl-two-way-im-spanish,True,[],0,Ellen Ochoa LC DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
100,100,LAUSD,,4211 Dozier St,323-265-6795,Esteban Torres HS - Engineer & Technology Academy,4211-dozier-st-esteban-torres-hs---engineer-&-technology-academy,True,[],0,Esteban Torres HS - Engineer & Technology Academy (LAUSD),,,,,,,LAUSD,False,
101,101,LAUSD,,4211 Dozier St,323-265-6865,Esteban Torres HS - Social Justice Leadership Acad Magnet,4211-dozier-st-esteban-torres-hs---social-justice-leadership-acad-magnet,True,[],0,Esteban Torres HS - Social Justice Leadership Acad Magnet (LAUSD),,,,,,,LAUSD,False,
102,102,LAUSD,,12001 Art St,818-767-0380,Fernangeles DL One & Two-Way Im Spanish,12001-art-st-fernangeles-dl-one-&-two-way-im-spanish,True,[],0,Fernangeles DL One & Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
103,103,LAUSD,,1963 E 103rd St,323-569-8141,Florence Griffith Joyner Elem Visual/Perf Arts Magnet,1963-e-103rd-st-florence-griffith-joyner-elem-visual/perf-arts-magnet,True,[],0,Florence Griffith Joyner Elem Visual/Perf Arts Magnet (LAUSD),,,,,,,LAUSD,False,
104,104,LAUSD,,1630 E 111th St,323-564-2545,Flournoy Elementary DL Two-Way Im Spanish,1630-e-111th-st-flournoy-elementary-dl-two-way-im-spanish,True,[],0,Flournoy Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
105,105,LAUSD,,317 N Avenue 62,323-254-7328,Garvanza Elementary Technology/Leadership Magnet,317-n-avenue-62-garvanza-elementary-technology/leadership-magnet,True,[],0,Garvanza Elementary Technology/Leadership Magnet (LAUSD),,,,,,,LAUSD,False,
106,106,LAUSD,,18720 Linnet St,818-654-3300,Gaspar de Portola CM - Academy of Integrated Arts & Tech,18720-linnet-st-gaspar-de-portola-cm---academy-of-integrated-arts-&-tech,True,[],0,Gaspar de Portola CM - Academy of Integrated Arts & Tech (LAUSD),,,,,,,LAUSD,False,
107,107,LAUSD,,929 W 69th St,323-565-3650,Gerald A Lawson Academy of the Arts Math Science Elementary,929-w-69th-st-gerald-a-lawson-academy-of-the-arts-math-science-elementary,True,[],0,Gerald A Lawson Academy of the Arts Math Science Elementary (LAUSD),,,,,,,LAUSD,False,
108,108,LAUSD,,2211 W Avenue 30,323-223-2277,Glassell Park Elementary STEAM Magnet,2211-w-avenue-30-glassell-park-elementary-steam-magnet,True,[],0,Glassell Park Elementary STEAM Magnet (LAUSD),,,,,,,LAUSD,False,
109,109,LAUSD,,8407 S Fir Ave,323-583-1263,Graham Elementary DL Two-Way Im Spanish,8407-s-fir-ave-graham-elementary-dl-two-way-im-spanish,True,[],0,Graham Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
110,110,LAUSD,,1530 N Wilton Pl,323-469-4046,Grant Elementary DL Two-Way Im Armenian,1530-n-wilton-pl-grant-elementary-dl-two-way-im-armenian,True,[],0,Grant Elementary DL Two-Way Im Armenian (LAUSD),,,,,,,LAUSD,False,
111,111,LAUSD,,309 Lucas Ave,213-250-2932,Gratts LA For YS DL One-Way Im Spanish,309-lucas-ave-gratts-la-for-ys-dl-one-way-im-spanish,True,[],0,Gratts LA For YS DL One-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
112,112,LAUSD,,1907 8th St,818-361-1243,Gridley Street Elementary DL Two-Way Im Spanish,1907-8th-st-gridley-street-elementary-dl-two-way-im-spanish,True,[],0,Gridley Street Elementary DL Two-Way Im Spanish (LAUSD),,,,,,,LAUSD,False,
