id,california_oid,phone,participating,rowid,school,district_y,address_y,status,latitude,longitude,Match
29,1964733165,323-753-3175,True,26,Fifty-Second Street/52nd St. Elementary (LAUSD),Los Angeles Unified,816 West 51st St.,Active,34.057545,-118.172166,
32,1964733165,323-269-0581,True,1575,City Terrace Elementary(LAUSD),Los Angeles Unified,4350 City Terrace Dr.,Active,34.057545,-118.172166,
38,1964733165,323-294-5244,True,1244,Coliseum Street Elementary(LAUSD),Los Angeles Unified,4400 Coliseum St.,Active,34.057545,-118.172166,
41,19647331,323-294-5275,True,24,Fifty-Fourth Street /54th St. Elementary (LAUSD),Los Angeles Unified,5501 South Eileen Ave.,Closed,No Data,No Data,
45,19647331,323-221-5148,True,1712,Latona Avenue Elementary(LAUSD),Los Angeles Unified,4312 Berenice Ave.,Closed,No Data,No Data,
53,19647331,323-756-1308,True,44,Manhattan Place Elementary(LAUSD),Los Angeles Unified,1850 West 96th St.,Closed,No Data,No Data,
57,19647331,323-567-1488,True,2338,San Gabriel Avenue Elementary(LAUSD),Los Angeles Unified,8628 San Gabriel Ave.,Closed,No Data,No Data,
65,19647331,818-367-1078,True,1873,Sylmar Elementary(LAUSD),Los Angeles Unified,13291 Phillippi Ave.,Closed,No Data,No Data,
69,196473319145,323-753-2338,True,1899,Seventy-Fourth Street/74th St. Elementary (LAUSD),Los Angeles Unified,2112 West 74th St.,Active,33.972721,-118.315858,
70,196473319137,323-971-8885,True,1898,Seventy-Fifth Street /75th St Elementary (LAUSD),Los Angeles Unified,142 West 75th St.,Active,33.972137,-118.272394,
71,196473319129,310-832-1538,True,14,Seventh Street/7th St. Elementary(LAUSD),Los Angeles Unified,1570 W 7th St,Active,33.737964,-118.311515,
72,196473318386,323-754-2869,True,1793,Ninety-Third Street/93rd St. Elementary(LAUSD),Los Angeles Unified,330 East 93rd St.,Active,33.951940,-118.268686,
73,196473318337,323-756-1466,True,1789,Ninety-Fifth Street/ 95th St. Elementary (LAUSD),Los Angeles Unified,1109 West 96th St.,Active,33.948742,-118.296157,
74,196473318378,323-567-8871,True,1792,Ninety-Sixth Street/96th St. Elementary (LAUSD),Los Angeles Unified,1471 East 96th St.,Active,33.949117,-118.248476,
75,1964739348,323-238-1500,True,2229,Aurora Elementary(LAUSD),Los Angeles Unified,1050 East 52nd Pl.,Active,33.995045,-118.257109,
77,1964733612,213-739-5600,True,18,Berendo Middle(LAUSD),Los Angeles Unified,1157 South Berendo St.,Active,34.049884,-118.293764,
80,196473126615,310-847-1455,True,1895,Carson Senior High(LAUSD),Los Angeles Unified,22328 South Main St.,Active,33.823923,-118.275857,
81,1964739439,323-276-1440,True,nan,,,,Active,34.088619,-118.167841,
82,196473357947,818-702-1200,True,1569,Christopher Columbus Middle(LAUSD),Los Angeles Unified,22250 Elkwood St.,Active,34.212762,-118.611513,
84,19647331932128,323-290-7800,True,93,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet(LAUSD)",Los Angeles Unified,5010 11th Ave.,Active,33.997541,-118.329297,
85,196473361794,213-239-5656,True,2292,CDS Elementary(LAUSD),Los Angeles Unified,10001 Jumilla Ave.,Active,34.251825,-118.563377,
86,196473122366,323-265-6865,True,1254,Esteban Torres East LA Performing Arts Magnet(LAUSD),Los Angeles Unified,4211 Dozier St.,Active,34.041554,-118.175474,
87,196473317321,323-583-1263,True,1586,Graham Elementary(LAUSD),Los Angeles Unified,8407 South Fir Ave.,Active,33.961549,-118.237464,
89,196473317354,323-469-4046,True,15,Grant Elementary(LAUSD),Los Angeles Unified,1530 North Wilton Pl.,Active,34.099570,-118.313554,
91,196473317388,818-361-1243,True,1594,Gridley Street Elementary(LAUSD),Los Angeles Unified,1907 Eighth St.,Active,34.301869,-118.429880,
93,196473357855,213-745-3700,True,1312,John Adams Middle(LAUSD),Los Angeles Unified,151 West 30th St.,Active,34.022622,-118.272436,
95,1964739199,213-413-3305,True,17,Lake Street Primary(LAUSD),Los Angeles Unified,135 North Lake St.,Active,34.067645,-118.271064,
96,196473319319,323-441-4600,True,13,Abraham Lincoln Senior High(LAUSD),Los Angeles Unified,3501 North Broadway,Active,33.791888,-118.263437,
99,196473319319,310-549-2112,True,97,Dan M. Issacs Avalon High(LAUSD),Los Angeles Unified,1425 North Avalon Blvd.,Active,33.791888,-118.263437,
102,196473319319,818-881-9850,True,1466,Stagg Street Elementary(LAUSD),Los Angeles Unified,7839 Amestoy Ave.,Active,33.791888,-118.263437,
105,19647331935519,323-846-7300,True,45,Manual Arts Senior High(LAUSD),Los Angeles Unified,4131 South Vermont Ave.,Active,34.008208,-118.291608,
107,196473127795,213-240-3896,True,1762,Contreras Learning Center-School of Social Justice(LAUSD),Los Angeles Unified,322 South Lucas Ave.,Active,34.058179,-118.260870,
108,196473319368,323-780-6500,True,19,Theodore Roosevelt Senior High(LAUSD),Los Angeles Unified,456 South Mathews St.,Merged,No Data,No Data,
110,196473319368,818-765-4234,True,1939,Strathern Street Elementary(LAUSD),Los Angeles Unified,7939 St. Clair Ave.,Merged,No Data,No Data,
112,1964733189,323-651-0166,True,1632,Rosewood Avenue Elementary(LAUSD),Los Angeles Unified,503 North Croft Ave.,Active,34.253898,-118.495841,
115,1964736948,213-487-9172,True,2161,Charles White Elementary(LAUSD),Los Angeles Unified,2401 Wilshire Blvd.,Active,34.059841,-118.279983,
117,1964727458,(562) 590-0904,True,1161,Chavez Elementary (Long Beach) (Long Beach Unified),Long Beach Unified,730 West Third St.,Active,33.770504,-118.182951,
118,1964725159,(562) 439-6873,True,1173,Fremont Elementary (Long Beach) (Long Beach Unified),Long Beach Unified,4000 East Fourth St.,Active,33.771652,-118.145829,
119,1964731258,(323) 238-7270,True,92,Alliance College-Ready Middle Academy 12 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,131 East 50th St.,Active,33.997698,-118.273270,
120,1964731233,(323) 269-2156,True,94,Alliance College-Ready Middle Academy 8 (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,113 South Rowan Ave.,Active,34.035463,-118.187318,
121,1964738936,(323) 923-1588,True,95,Alliance Collins Family College-Ready High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2071 Saturn Ave.,Active,33.976919,-118.234136,
122,19647311,(213) 342-2870,True,96,Alliance Dr. Olga Mohan High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,644 West 17th St.,Active,34.162078,-118.473053,
124,19647311,818-528-7000,True,2323,Hesby Oaks Leadership Charter(LAUSD),Los Angeles Unified,15530 Hesby St.,Active,34.162078,-118.473053,
126,19647311,323-357-7521,True,1697,International Studies Learning Center at Legacy High School Complex(LAUSD),Los Angeles Unified,5225 Tweedy Blvd.,Active,34.162078,-118.473053,
128,1964736864,(213) 745-8141,True,97,Alliance Gertz-Ressler Richard Merkin 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2023 South Union Ave.,Active,34.036313,-118.282561,
130,196473111518,(323) 905-1377,True,98,Alliance Jack H. Skirball Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,603 East 115th St.,Active,33.930161,-118.263612,
131,1964738894,(323) 920-6125,True,99,Alliance Judy Ivie Burton Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,10101 South Broadway,Active,33.944203,-118.278494,
132,1964731241,(323) 484-0450,True,0,Alliance Kory Hunter Middle (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5886 Compton Ave.,Active,33.987113,-118.247384,
133,1964731176,(323) 739-0560,True,78,Alliance Leichtman-Levine Family Foundation Environmental Science High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2930 Fletcher Dr.,Active,34.113837,-118.246925,
135,196473111658,(323) 987-2144,True,79,Alliance Marc & Eva Stern Math and Science (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,"5151 State University Dr., Lot 2",Active,34.062039,-118.173659,
136,196473124941,(323) 537-2060,True,,Alliance Margaret M. Bloomfield Technology Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,7907 Santa Fe Ave.,Active,33.967152,-118.230615,
137,1964731384,(747) 223-2649,True,81,Alliance Marine - Innovation and Technology 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,11933 Allegheny St.,Active,34.237261,-118.393274,
139,1964731169,(323) 526-8198,True,82,Alliance Morgan McKinzie High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,110 South Townsend Ave.,Active,34.035647,-118.187753,
141,1964731169,323-817-6400,True,2315,Helen Bernstein High(LAUSD),Los Angeles Unified,1309 North Wilton Pl.,Active,34.035647,-118.187753,
143,196473111641,(323) 596-2290,True,83,Alliance Ouchi-O'Donovan 6-12 Complex (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,5356 South Fifth Ave.,Active,33.993484,-118.322462,
144,196473117598,(323) 972-9010,True,85,Alliance Piera Barbaglia Shaheen Health Services Academy (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,8515 Kansas Ave.,Active,33.960830,-118.294032,
145,196473124891,(323) 905-1210,True,86,Alliance Renee and Meyer Luskin Academy High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2941 West 70th St.,Active,33.977090,-118.325758,
146,196473123133,(323) 352-3206,True,87,Alliance Susan and Eric Smidt Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,211 South Avenue 20,Active,34.072368,-118.220220,
147,196473123141,(213) 241-8533,True,88,Alliance Ted K. Tajima High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,1552 W. Rockwood St.,Active,34.063479,-118.261535,
148,196473121293,(323) 276-5545,True,89,Alliance Tennenbaum Family Technology High (Alliance College Ready Public Schools District),Alliance College Ready Public Schools District,2050 North San Fernando Rd.,Active,34.102260,-118.237398,
149,196473123992,(323) 565-3245,True,681,Animo Ellen Ochoa Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,4360 Dozier St.,Active,34.041104,-118.171769,
150,1964731292,(323) 565-4450,True,687,Animo Mae Jemison Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,12700 S. Avalon Blvd.,Active,33.917533,-118.263900,
151,1964732434,(323) 779-0544,True,6,Animo South Los Angeles Charter (Green Dot Charter Schools District),Green Dot Charter Schools District,11130 Western Ave.,Active,33.933015,-118.308295,
152,196473122499,(323) 565-3251,True,693,Animo Westside Charter Middle (Green Dot Charter Schools District),Green Dot Charter Schools District,5456 McConnell Ave.,Closed,33.977473,-118.418629,
153,196473126797,(323) 826-9616,True,139,Aspire Centennial College Preparatory Academy (Aspire Public Schools District),Aspire Public Schools District,2079 Saturn Ave.,Active,33.977440,-118.233880,
154,196473122622,(323) 249-5740,True,1,Aspire Firestone Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,Active,33.951564,-118.189112,
155,196473122614,(323) 249-5740,True,141,Aspire Gateway Academy Charter (Aspire Public Schools District),Aspire Public Schools District,8929 Kauffman Ave.,Active,33.951564,-118.189112,
156,196473114884,(323) 583-5421,True,144,Aspire Junior Collegiate Academy (Aspire Public Schools District),Aspire Public Schools District,6724 South Alameda St.,Active,33.977946,-118.234999,
157,196473122721,(323) 589-2800,True,145,Aspire Pacific Academy (Aspire Public Schools District),Aspire Public Schools District,2565 58th St.,Active,33.990184,-118.225939,
158,196446134858,(657) 321.4000 ext. 60005,True,892,California School of the Arts - San Gabriel Valley (Independent Charter Schools District),Independent Charter Schools District,1401 Highland Ave.,Active,34.136932,-117.968851,
159,196473135715,323-459-0325,True,526,Ednovate - Esperanza College Prep (Ednovate District),Ednovate District,319 North Humphreys Ave.,Active,34.038931,-118.171477,
160,196473125864,213-929-1046,True,528,Ednovate - USC Hybrid High College Prep (Ednovate District),Ednovate District,3939 S. Vermont Ave.,Active,34.013426,-118.291821,
161,196473135723,323-446-2570,True,524,Ednovate - Brio College Prep (Ednovate District),Ednovate District,350 South Figueroa St. Ste. 100,Active,34.053718,-118.255002,
162,1964731129,323-446-2570,True,527,Ednovate - South LA College Prep (Ednovate District),Ednovate District,700 Wilshire Blvd. Ste. 400,Active,34.048625,-118.257459,
164,1964731129,213-240-3840,True,1459,School of Business and Tourism at Contreras Learning Complex(LAUSD),Los Angeles Unified,322 Lucas Ave.,Active,34.048625,-118.257459,
166,19647331931443,(818) 595-7500 ext. 7567,True,888,El Camino Real Charter High (Independent Charter Schools District),Independent Charter Schools District,5440 Valley Cir. Blvd.,Closed,No Data,No Data,
167,19646313,(323) 298-6420,True,763,ICEF Inglewood Elementary Charter Academy (ICEF Public Schools District),ICEF Public Schools District,434 South Grevillea Ave.,Active,33.958058,-118.354921,
168,196473361148,(323) 290-6950/60,True,758,ICEF View Park Preparatory Elementary (ICEF Public Schools District),ICEF Public Schools District,5311 South Crenshaw Blvd.,Active,33.994362,-118.331353,
169,196473361281,(323) 290-6970,True,7,ICEF View Park Preparatory Middle (ICEF Public Schools District),ICEF Public Schools District,5311 Crenshaw Blvd.,Active,33.994362,-118.331353,
170,196473117937,(323) 298-6400,True,761,ICEF Vista Elementary Academy (ICEF Public Schools District),ICEF Public Schools District,4471 Inglewood Blvd.,Active,33.995110,-118.418188,
171,196473115287,(323) 298-6405,True,762,ICEF Vista Middle Academy (ICEF Public Schools District),ICEF Public Schools District,4471 Inglewood Blvd.,Active,33.995110,-118.418188,
172,197566361158,(310) 943-5444,True,887,New West Charter (Independent Charter Schools District),Independent Charter Schools District,1905 Armacost Ave.,Active,34.035653,-118.455358,
173,196444412678, (3l0) 842-4241,True,447,El Marino Elementary (Culver City Unified),Culver City Unified,11450 Port Rd.,Active,33.992306,-118.401901,
174,196444412686,(310) 842-4340,True,448,El Rincon Elementary (Culver City Unified),Culver City Unified,11177 Overland Ave.,Active,33.994838,-118.390451,
175,196444412694,(310) 842-4323,True,449,Farragut Elementary (Culver City Unified),Culver City Unified,10820 Farragut Dr.,Active,34.007624,-118.400098,
176,1964444122,(310) 842-4334,True,4,La Ballona Elementary (Culver City Unified),Culver City Unified,10915 Washington Blvd.,Active,34.013188,-118.409500,
177,1964444126,(310) 842-4338,True,451,Linwood E. Howe Elementary (Culver City Unified),Culver City Unified,4100 Irving Pl.,Active,34.021740,-118.392680,
178,196446912918,(626) 599-5100,True,488,Andres Duarte Arts Academy (PK-8) (Duarte Unified),Duarte Unified,1433 Crestfield Dr.,Closed,34.137605,-117.951713,
179,196446912926,(626) 599-5200,True,4,Beardslee Dual Language Immersion Academy (PK-8) (Duarte Unified),Duarte Unified,1212 East Kellwil Way,Active,34.128639,-117.979293,
180,19644691932482,(626) 599-5700,True,492,Duarte High (Duarte Unified),Duarte Unified,1565 East Central Ave.,Active,34.136066,-117.971283,
181,196446912934,(626) 599-5300,True,493,Maxwell Academy (PK-8) (Duarte Unified),Duarte Unified,733 Euclid Ave.,Active,34.128313,-117.989794,
182,196446912942,(626) 599-5400,True,496,Royal Oaks STEAM Academy (K-8) (Duarte Unified),Duarte Unified,2499 Royal Oaks Dr.,Active,34.144620,-117.952158,
183,196446912959,(626) 599-5500,True,497,Valley View Academy of Technology and Creative Learning (TK-6) (Duarte Unified),Duarte Unified,237 Melcanyon Rd.,Active,34.150325,-117.939439,
184,1964527134,(562) 801-7600,True,559,Birney Tech Academy (El Rancho Unified),El Rancho Unified,8501 Orange Ave.,Active,33.958123,-118.095896,
185,196452713312,(562) 801-7610,True,534,Durfee Elementary (El Monte) (El Monte City),El Monte City,12233 Star St.,Active,34.012262,-118.075341,
186,196452719326,(562) 801-7500,True,563,El Rancho High (El Rancho Unified),El Rancho Unified,6501 South Passons Blvd.,Active,33.984147,-118.086965,
187,196452133835,Information Not Available,True,564,Ellen Ochoa Prep Academy (El Rancho Unified),El Rancho Unified,8110 Paramount Blvd.,Closed,33.969865,-118.112764,
188,196452713338,(562) 801-7620,True,565,Magee Academy of Arts & Sciences (El Rancho Unified),El Rancho Unified,8200 Serapis Ave.,Active,33.963378,-118.103837,
189,196452761287,(562) 801-7570,True,566,North Park Academy of the Arts (El Rancho Unified),El Rancho Unified,4450 South Durfee Ave.,Active,34.008737,-118.076408,
190,196452713353,(562) 801-7630,True,567,North Ranchito Elementary (El Rancho Unified),El Rancho Unified,8837 East Olympic Blvd.,Active,34.006287,-118.084389,
191,196452713379,(562) 801-7640,True,541,Rio Vista Elementary (El Monte City),El Monte City,4300 North Esto,Active,33.990047,-118.095385,
192,196452713387,(562) 801-7650,True,569,Rivera Elementary (El Rancho Unified),El Rancho Unified,7250 Citronell St.,Active,33.976795,-118.094998,
193,196452761295,(562) 801-7580,True,5,Rivera Middle (El Rancho Unified),El Rancho Unified,7200 Citronell Ave.,Active,33.977556,-118.094507,
194,19645271932698,(562) 801-7680,True,571,Ruben Salazar Continuation (El Rancho Unified),El Rancho Unified,9115 Balfour St.,Active,33.987906,-118.090823,
195,1964527133,(562) 801-7660,True,572,South Ranchito Dual Language Academy (El Rancho Unified),El Rancho Unified,5241 South Passons Blvd.,Closed,No Data,No Data,
197,196452757681,(562) 801-7590,True,575,STEAM Academy @ Burke (El Rancho Unified),El Rancho Unified,8101 Orange Ave.,Active,33.963045,-118.093534,
198,196452713411,(562) 801-7670,True,576,Valencia Academy of the Arts (El Rancho Unified),El Rancho Unified,9241 East Cosgrove St.,Active,33.988491,-118.086211,
199,1964733132,310-547-3323,True,23,Fifteenth Street/15th St. Elementary (LAUSD),Los Angeles Unified,1527 South Mesa St.,Active,33.730355,-118.285809,
200,1964733199,323-269-0138,True,28,First Street/ 1st ST. Elementary (LAUSD),Los Angeles Unified,2820 East First St.,Active,34.041039,-118.203878,
204,1964733199,818-345-0203,True,1768,John R. Wooden High(LAUSD),Los Angeles Unified,18741 Elkwood St.,Active,34.041039,-118.203878,
208,1964733199,323-255-3142,True,1372,Toland Way Elementary(LAUSD),Los Angeles Unified,4545 Toland Way,Active,34.041039,-118.203878,
212,1964733199,323-938-5291,True,14,Wilshire Crest Elementary(LAUSD),Los Angeles Unified,5241 West Olympic Blvd.,Active,34.041039,-118.203878,
220,1964733195,323-232-3496,True,1386,Twenty-Eighth Street / 28th St. Elementary(LAUSD),Los Angeles Unified,2807 Stanford Ave.,Closed,No Data,No Data,
224,1964733195,323-269-9401,True,1869,Second Street/2nd St. Elementary(LAUSD),Los Angeles Unified,1942 East Second St.,Closed,No Data,No Data,
228,196473319467,323-939-8337,True,14,Third Street/ 3rd St. Elementary(LAUSD),Los Angeles Unified,201 South June St.,Active,34.071002,-118.334858,
229,196473317164,323-266-0182,True,1532,Fourth Street/4th St. Elementary(LAUSD),Los Angeles Unified,420 South Amalia Ave.,Active,34.028671,-118.153548,
230,1964733157,323-294-5118,True,25,Fifty-Ninth Street /59th St. Elementary (LAUSD),Los Angeles Unified,5939 Second Ave.,Active,34.203639,-118.514587,
232,1964733157,818-343-8733,True,1851,Anatola Avenue Elementary(LAUSD),Los Angeles Unified,7364 Anatola Ave.,Active,34.203639,-118.514587,
234,196473319251,323-759-1138,True,1831,Sixty-First Street/61st St. Elementary (LAUSD),Los Angeles Unified,6020 South Figueroa St.,Active,33.984900,-118.282593,
235,196473319269,323-753-1589,True,1832,Sixty-Sixth Street /66th St. Elementary(LAUSD),Los Angeles Unified,6600 South San Pedro St.,Active,33.979687,-118.269478,
236,196473319236,323-733-9107,True,18,Sixth Avenue/6th Ave. Elementary(LAUSD),Los Angeles Unified,3109 Sixth Ave.,Active,34.026121,-118.323665,
238,196473318352,323-564-7946,True,1791,Ninety-Second Street/92nd St. Elementary (LAUSD),Los Angeles Unified,9211 Grape St.,Active,33.953014,-118.236340,
239,196473318345,323-564-2677,True,17,Ninety-Ninth Street/99th St. Elementary (LAUSD),Los Angeles Unified,9900 South Wadsworth Ave.,Active,33.946541,-118.258558,
240,196473364814,213-896-2700,True,1794,Ninth Street/9th St. Elementary (LAUSD),Los Angeles Unified,835 St.anford Ave.,Active,34.035991,-118.247149,
243,1964731296,818-609-8421,True,18,Academy for Enriched Sciences(LAUSD),Los Angeles Unified,17551 Miranda St.,Active,34.175140,-118.515304,
245,1964732137,818-341-1232,True,1213,Aggeler Community Day(LAUSD),Los Angeles Unified,21050 Plummer St.,Active,34.242728,-118.592704,
246,19647331931385,818-892-4367,True,1215,Albert Einstein Continuation(LAUSD),Los Angeles Unified,15938 Tupper St.,Active,34.239189,-118.479347,
247,1964733155,323-221-3108,True,1216,Albion Street Elementary(LAUSD),Los Angeles Unified,322 South Avenue 18,Active,34.069357,-118.220913,
249,1964733155,323-262-6382,True,2327,Marianna Avenue Elementary(LAUSD),Los Angeles Unified,4215 East Gleason St.,Active,34.069357,-118.220913,
253,196473315713,323-255-1434,True,1217,Aldama Elementary(LAUSD),Los Angeles Unified,632 North Avenue 50,Active,34.110127,-118.206005,
255,196473357996,310-257-4500,True,1738,Alexander Fleming Middle (LAUSD),Los Angeles Unified,25425 Walnut St.,Active,33.793210,-118.312098,
256,19647331933852,310-280-1400,True,1739,Alexander Hamilton Senior High (LAUSD),Los Angeles Unified,2955 Robertson Blvd.,Active,34.033458,-118.389692,
258,196473315721,323-660-1936,True,1741,Alexandria Avenue Elementary (LAUSD),Los Angeles Unified,4211 Oakwood Ave.,Active,34.077638,-118.299734,
260,1964733545,323-269-0681,True,1742,Alfonso B. Perez Special Education Center (LAUSD),Los Angeles Unified,4540 Michigan Ave.,Active,34.038721,-118.168271,
261,196473361543,818-773-4700,True,1743,Alfred B. Nobel Charter Middle (LAUSD),Los Angeles Unified,9950 Tampa Ave.,Active,34.250954,-118.553508,
263,196473315739,323-666-7162,True,1745,Allesandro Elementary (LAUSD),Los Angeles Unified,2210 Riverside Dr.,Active,34.101203,-118.250906,
264,196473122184,818-830-4400,True,1484,Alta California Elementary(LAUSD),Los Angeles Unified,14859 Rayen St.,Active,34.231879,-118.456559,
266,196473315747,323-939-2113,True,1485,Alta Loma Elementary(LAUSD),Los Angeles Unified,1745 Vineyard Ave.,Active,34.042526,-118.338860,
267,19647392,323-264-6494,True,1486,Amanecer Primary Center(LAUSD),Los Angeles Unified,832 South Eastman Ave.,Active,34.024653,-118.186166,
268,196473315754,310-532-4090,True,1847,Ambler Avenue Elementary(LAUSD),Los Angeles Unified,319 East Sherman Dr.,Active,33.877500,-118.271457,
272,19647331931377,818-769-4877,True,1848,Amelia Earhart Continuation(LAUSD),Los Angeles Unified,5355 Colfax Ave.,Active,34.167840,-118.387821,
273,196473315762,310-327-5592,True,18,Amestoy Elementary(LAUSD),Los Angeles Unified,1048 West 149th St.,Active,33.896398,-118.293376,
274,196473315796,818-349-8631,True,1852,Andasol Avenue Elementary(LAUSD),Los Angeles Unified,10126 Encino Ave.,Active,34.254435,-118.515388,
275,196473122218,818-908-6700,True,1853,Andres and Maria Cardenas Elementary(LAUSD),Los Angeles Unified,6900 Calhoun Ave.,Active,34.196067,-118.442175,
276,196473357913,310-952-5700,True,1854,Andrew Carnegie Middle(LAUSD),Los Angeles Unified,21820 Bonita St.,Active,33.829580,-118.259254,
277,1964733154,323-294-5103,True,1856,Angeles Mesa Elementary(LAUSD),Los Angeles Unified,2611 West 52nd St.,Active,33.995081,-118.321566,
278,196473319734,310-221-4600,True,1855,Angel's Gate (Continuation)(LAUSD),Los Angeles Unified,3607 South Gaffey St.,Active,33.707853,-118.292858,
279,196473315812,323-221-3194,True,2177,Ann Street Elementary(LAUSD),Los Angeles Unified,126 East Bloom St.,Active,34.064925,-118.230493,
280,1964733158,310-537-4740,True,2178,Annalee Avenue Elementary(LAUSD),Los Angeles Unified,19410 South Annalee Ave.,Active,33.854844,-118.252927,
282,196473315838,323-254-9168,True,2179,Annandale Elementary(LAUSD),Los Angeles Unified,6125 Poppy Peak Dr.,Active,34.128343,-118.187007,
283,196473315846,818-353-5544,True,21,Apperson Street Elementary(LAUSD),Los Angeles Unified,10233 Woodward Ave.,Active,34.254928,-118.307092,
284,196473315853,323-221-5173,True,2181,Aragon Avenue Elementary(LAUSD),Los Angeles Unified,1118 Aragon Ave.,Active,34.094929,-118.224694,
285,1964731145,818-686-4100,True,1335,Arleta High(LAUSD),Los Angeles Unified,14200 Van Nuys Blvd.,Active,34.250962,-118.442736,
286,196473315861,323-735-1021,True,1336,Arlington Heights Elementary(LAUSD),Los Angeles Unified,1717 Seventh Ave.,Active,34.041436,-118.324906,
