CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,Email,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,AdmEmail,LastUpDate
1.9102E+13,691078,12710,Active,Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,6621 North Stephens Ranch Road,6621 North Stephens Ranch Rd.,La Verne,91750,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(909) 593-4926,No Data,(909) 596-2974,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44754,44846,N,N,N,No Data,34.152077,-117.74243,John,Cotton,cotton_john@lacoe.edu,44056
1.9102E+13,691078,12637,Active,Los Angeles,Los Angeles County Office of Education,"Rockey, Glenn Camp",1900 North Sycamore Canyon Road,1900 North Sycamore Canyon Rd.,San Dimas,91773,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(909) 599-8435,No Data,(909) 394-9615,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44754,44816,N,N,N,No Data,34.13264,-117.79767,John,Cotton,donahue_ray@lacoe.edu,44056
1.9102E+13,691078,12802,Active,Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,427 South Encinal Canyon Road,427 South Encinal Canyon Rd.,Malibu,90265,CA,9300 Imperial Highway,9300 Imperial Hwy.,Downey,90242,CA,(818) 889-1225,No Data,(818) 889-7011,No Data,No Data,40360,No Data,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,44754,44846,N,N,N,No Data,34.091785,-118.83564,Bridget,Whitaker,whitaker_bridget@lacoe.edu,44438
1.9102E+13,691078,13591,Active,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,3600 West Imperial Highway,3600 West Imperial Hwy.,Inglewood,90303-2714,CA,3600 West Imperial Highway,3600 West Imperial Hwy.,Inglewood,90303-2714,CA,(310) 793-0157,No Data,(310) 680-9843,info@ecsonline.org,http://www.ecsonline.org,41456,No Data,Y,1501,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,44720,44720,N,N,Y,601540,33.930642,-118.33589,Geneva,Matthews,geneva_matthews@ecsonline.org,44082
1.9102E+13,691078,13261,Active,Los Angeles,Los Angeles County Office of Education,Lashon Academy,7477 Kester Avenue,7477 Kester Ave.,Van Nuys,91405-1722,CA,7119 West Sunset Boulevard Suite 420,7119 West Sunset Blvd. Ste. 420,Los Angeles,90046,CA,(818) 514-4566,No Data,(818) 337-0102,enroll@lashonacademy.org,http://lashonacademy.org,41865,No Data,Y,1560,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,601955,34.206356,-118.45749,Sara,Garcia,sgarcia@lashonacademy.org,44340
1.9102E+13,691078,13895,Active,Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,8691 California Avenue,8691 California Ave.,South Gate,90280-3003,CA,8691 California Avenue,8691 California Ave.,South Gate,90280-3003,CA,(323) 744-2107,No Data,(323) 306-5869,nhuertas@valientecollegeprep.org,http://www.valientecollegeprep.org,42233,No Data,Y,1744,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,44689,44689,N,N,N,602256,33.954987,-118.20667,Nevenka,Huertas,nhuertas@valientecollegeprep.org,44438
1.9102E+13,691078,14009,Active,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,1637 Long Beach Boulevard,1637 Long Beach Blvd.,Long Beach,90813-4001,CA,1637 Long Beach Boulevard,1637 Long Beach Blvd.,Long Beach,90813-4001,CA,(562) 283-4456,No Data,No Data,info@academylongbeach.org,http://www.academylongbeach.org,42613,No Data,Y,1814,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,N,N,N,601535,33.787916,-118.18982,Summer,Sanders,summer.sanders@academylongbeach.org,44056
1.9102E+13,691078,14033,Active,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? Middle,1700 West 46th Street,1700 West 46th St.,Los Angeles,90062-2347,CA,1933 Broadway #1108,1933 Broadway #1108,Los Angeles,90007-2347,CA,(323) 403-0770,No Data,(213) 652-1818,info@lapromisefund.org,http://www.russellwestbrookwhynotms.org,42612,No Data,Y,1818,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,44720,44720,N,N,N,602380,34.001137,-118.30915,Donna,Jacobson,donnaj@lapromisefund.org,44481
1.9102E+13,691078,14146,Active,Los Angeles,Los Angeles County Office of Education,Alma Fuerte Public,119 West Palm Street,119 West Palm St.,Altadena,91001-4375,CA,119 West Palm Street,119 West Palm St.,Altadena,91001,CA,(858) 472-2245,No Data,(626) 529-5258,info@almafuerteps.org,http://www.almafuerteps.org,42954,No Data,Y,1859,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-5,C,N,N,602408,34.197588,-118.1485,Laurilie,Keay,laurilie.keay@almafuerteps.org,44056
1.9102E+13,691078,14144,Active,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? High,1755 West 52nd Street,1755 West 52nd St.,Los Angeles,90062-2347,CA,1755 West 52nd Street,1755 West 52nd St.,Los Angeles,90062-2347,CA,(213) 745-4928,No Data,(213) 652-1818,info@lapromisefund.org,http://www.russellwestbrookwhynoths.org,42962,No Data,Y,1817,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,N,N,N,601612,33.995341,-118.30851,Donna,Jacobson,donnaj@lapromisefund.org,44440
1.9102E+13,691078,14151,Active,Los Angeles,Los Angeles County Office of Education,Animo City of Champions Charter High,9330 South Eighth Avenue,9330 South Eighth Ave.,Inglewood,90305-2914,CA,"1149 South Hill Street, Suite 600","1149 South Hill St., Ste. 600",Los Angeles,90015,CA,(323) 565-1600,No Data,(323) 565-1610,cha.cde@greendot.org,http://greendot.org,42956,No Data,Y,1874,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,N,N,Y,602307,33.951586,-118.32505,Cen'cere,Cooks,cha.cde@greendot.org,44504
1.9102E+13,691078,14349,Active,Los Angeles,Los Angeles County Office of Education,Soleil Academy Charter,3900 Agnes Avenue,3900 Agnes Ave.,Lynwood,90262-4415,CA,"3900 Agnes Ave,","3900 Agnes Ave,",Lynwood,90262,CA,(323) 409-0801,No Data,No Data,bgutierrez@soleilacademy.org,http://www.soleilacademy.org,43320,No Data,Y,1931,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-3,C,N,Y,601965,33.917011,-118.2018,Beatriz,Gutierrez,bgutierrez@soleilacademy.org,44582
1.9102E+13,691078,12347,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,18238 Sherman Way,18238 Sherman Way,Reseda,91335-6121,CA,18238 Sherman Way,18238 Sherman Way,Reseda,91335-6121,CA,(818) 705-5676,No Data,(818) 705-5627,msa5@magnoliapublicschools.org,http://msa5.magnoliapublicschools.org/,43282,No Data,Y,987,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,N,N,Y,601885,34.200724,-118.53023,Ali,Kaplan,akaplan@magnoliapublicschools.org,44582
1.9102E+13,691078,14355,Active,Los Angeles,Los Angeles County Office of Education,Da Vinci RISE High,201 North Douglas Street,201 North Douglas St.,El Segundo,90245-4637,CA,201 North Douglas Street,201 North Douglas St.,El Segundo,90245-4637,CA,(310) 725-5800,No Data,(310) 536-7123,ewhalen@davincischools.org,http://www.davincischools.org,43318,No Data,Y,2017,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,V,N,N,602215,33.917773,-118.38398,Erin,Whalen,ewhalen@davincischools.org,44344
1.9102E+13,691078,14405,Active,Los Angeles,Los Angeles County Office of Education,Lashon Academy City,3109 Sixth Avenue,3109 Sixth Ave.,Los Angeles,90018-2920,CA,7119 West Sunset Boulevard Suite 420,7119 West Sunset Blvd. Ste. 420,Los Angeles,90046,CA,(818) 514-4566,No Data,(818) 337-0102,josh@lashonacademy.org,http://www.lashonacademy.org,43689,No Data,Y,2029,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,44564,C,N,N,602489,34.02663,-118.32417,Sara,Garcia,sgarcia@lashonacademy.org,44340
1.9102E+13,691078,14478,Active,Los Angeles,Los Angeles County Office of Education,We the People High,1635 Long Beach Boulevard,1635 Long Beach Blvd.,Long Beach,90813-2304,CA,1635 Long Beach Boulevard,1635 Long Beach Blvd.,Long Beach,90813,CA,(562) 533-4862,No Data,No Data,admin@wethepeopleps.org,http://www.wethepeopleps.org,44013,No Data,Y,2045,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,9,N,N,N,602529,33.787729,-118.18981,Anita,Ravi,anitaravi@wethepeopleps.org,44482
1.9102E+13,691078,14580,Active,Los Angeles,Los Angeles County Office of Education,Environmental Charter High - Gardena,2818 Manhattan Beach Boulevard,2818 Manhattan Beach Blvd.,Gardena,90249-4534,CA,2818 Manhattan Beach Boulevard,2818 Manhattan Beach Blvd.,Gardena,90249,CA,(310) 214-3408,No Data,(424) 456-7439,info@ecsonline.org,http://www.ecsonline.org,44431,No Data,Y,2098,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,No Data,N,N,Y,602557,33.887035,-118.32532,Cindy,Guardado,cindy_guardado@ecsonline.org,44582
1.9102E+13,691078,14576,Active,Los Angeles,Los Angeles County Office of Education,T.I.M.E. Community,2100 West Cleveland Avenue,2100 West Cleveland Ave.,Montebello,90640-4032,CA,420 North Montebello Boulevard #300,420 North Montebello Blvd. #300,Montebello,90640,CA,(323) 424-6910,No Data,No Data,info@timecommunityschools.org,http://www.timecommunityschools.org,44378,No Data,Y,2110,Directly funded,0,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,44816,No Data,N,N,N,602561,34.01564,-118.12287,Gabriel,Ramirez,gramirez@timecommunityschools.org,44582
1.9102E+13,691078,14581,Active,Los Angeles,Los Angeles County Office of Education,KIPP Poder Public,630 Leonard Avenue,630 Leonard Ave.,Los Angeles,90022-3508,CA,3601 East First Street,3601 East First St.,Los Angeles,90063,CA,(213) 489-4461,No Data,No Data,dsalazar@kippsocal.org,http://www.kippsocal.org/poder,44424,No Data,Y,2112,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,No Data,N,N,N,602553,34.020533,-118.14192,Daisy,Salazar-Garza,dsalazar@kippsocal.org,44482
1.9102E+13,691078,14577,Active,Los Angeles,Los Angeles County Office of Education,Bridges Preparatory Academy,400 South Santa Fe Avenue,400 South Santa Fe Ave.,Compton,90221-3244,CA,400 South Santa Fe Avenue,400 South Santa Fe Ave.,Compton,90221,CA,(310) 877-6004,No Data,No Data,agomez@bpacompton.org,http://bpacompton.org,44431,No Data,Y,2114,Directly funded,0,County Office of Education (COE),62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,44720,No Data,C,N,N,602564,33.893146,-118.21542,Alejandro,Gomez,agomez@bpacompton.org,44582
1.9102E+13,691078,9663,Active,Los Angeles,Los Angeles County Office of Education,L.A. County High School for the Arts,5151 State University Drive,5151 State University Dr.,Los Angeles,90032-4221,CA,5151 State University Drive,5151 State University Dr.,Los Angeles,90032-4221,CA,(323) 343-2550,No Data,(323) 343-2549,No Data,http://www.lachsa.net,29403,No Data,N,No Data,No Data,0,County Office of Education (COE),13,Opportunity Schools,OPP,Opportunity School,HS,High School,44816,44816,N,N,N,No Data,34.062369,-118.1716,John,Lawler,lawler_john@lacoe.edu,44056
1.9102E+13,691078,4580,Active,Los Angeles,Los Angeles County Office of Education,International Polytechnic High,"3801 West Temple Avenue, Building 128-16","3801 West Temple Ave., Bldg. 128-16",Pomona,91768-2557,CA,"3801 West Temple Avenue, Building 128-16","3801 West Temple Ave., Bldg. 128-16",Pomona,91768-2557,CA,(909) 839-2320,No Data,(909) 839-2326,No Data,No Data,34213,No Data,N,No Data,No Data,0,County Office of Education (COE),13,Opportunity Schools,OPP,Opportunity School,HS,High School,44816,44816,N,N,N,No Data,34.05037,-117.82071,Ginger,Paul,paul_ginger@lacoe.edu,44056
1.9102E+13,691078,8010,Active,Los Angeles,Los Angeles County Office of Education,Renaissance County Community,14600 Cerise Avenue,14600 Cerise Ave.,Hawthorne,90250-8526,CA,14600 Cerise Avenue,14600 Cerise Ave.,Hawthorne,90250-8526,CA,(310) 970-9910,No Data,(310) 679-8106,No Data,http://www.lacoe.edu,36206,No Data,N,No Data,No Data,0,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,44754,44754,N,N,N,No Data,33.898285,-118.33289,Adrianna,Hernandez,hernandez_adrian@lacoe.edu,44362
1.9102E+13,691078,8012,Active,Los Angeles,Los Angeles County Office of Education,Odyssey Charter,725 West Altadena Drive,725 West Altadena Dr.,Altadena,91001-4103,CA,725 West Altadena Drive,725 West Altadena Dr.,Altadena,91001-4103,CA,(626) 229-0993,No Data,(626) 229-0586,No Data,http://www.odysseycharterschool.org,36410,No Data,Y,249,Directly funded,0,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,601915,34.199346,-118.16211,Lauren,O'Neill,laureno@ocsmail.org,44056
1.9102E+13,691078,10524,Active,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy,18238 Sherman Way,18238 Sherman Way,Reseda,91335-4550,CA,18238 Sherman Way,18238 Sherman Way,Reseda,91335-4550,CA,(818) 609-0507,No Data,(818) 609-0534,No Data,http://msal.magnoliapublicschools.org,37511,No Data,Y,438,Directly funded,0,County Office of Education (COE),65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,44724,44724,N,N,Y,601706,34.201083,-118.53054,Brad,Plonka,bplonka@magnoliapublicschools.org,44582
1.96421E+13,601620,10,Active,Los Angeles,ABC Unified,Cerritos High,12500 East 183rd Street,12500 East 183rd St.,Cerritos,90703-8450,CA,12500 East 183rd Street,12500 East 183rd St.,Cerritos,90703-8450,CA,(562) 229-7715,No Data,(562) 924-3187,No Data,http://www.cerritoshs.us,29403,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,C,N,N,No Data,33.865464,-118.06479,Patrick,Walker,patrick.walker@abcusd.us,44056
1.96421E+13,601620,2,Active,Los Angeles,ABC Unified,Artesia High,12108 East Del Amo Boulevard,12108 East Del Amo Blvd.,Lakewood,90715-1516,CA,12108 East Del Amo Boulevard,12108 East Del Amo Blvd.,Lakewood,90715-1516,CA,(562) 229-7700,No Data,(562) 809-5604,No Data,http://www.artesiahs.us/,29403,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,C,Y,N,No Data,33.845962,-118.0744,Sergio,Garcia,sergio.garcia@abcusd.us,43509
1.96421E+13,601620,28,Active,Los Angeles,ABC Unified,Tracy (Wilbur) High (Continuation),12222 Cuesta Drive,12222 Cuesta Dr.,Cerritos,90703-2801,CA,12222 Cuesta Drive,12222 Cuesta Dr.,Cerritos,90703-2801,CA,(562) 229-7760,No Data,(562) 926-8740,No Data,http://www.tracyhs.us,29403,No Data,N,No Data,No Data,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,44816,44816,C,N,N,No Data,33.878969,-118.07199,Ricardo,Brown,ricardo.brown@abcusd.us,44056
1.96421E+13,601620,29,Active,Los Angeles,ABC Unified,Whitney (Gretchen) High,16800 Shoemaker Avenue,16800 Shoemaker Ave.,Cerritos,90703-1244,CA,16800 Shoemaker Avenue,16800 Shoemaker Ave.,Cerritos,90703-1244,CA,(562) 229-7745,No Data,(562) 926-2751,No Data,http://www.whitneyhs.us,29403,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,44754,44754,C,N,N,No Data,33.878999,-118.05511,John,Briquelet,john.briquelet@abcusd.us,44482
1.96421E+13,601620,14,Active,Los Angeles,ABC Unified,Gahr (Richard) High,11111 Artesia Boulevard,11111 Artesia Blvd.,Cerritos,90703-2533,CA,11111 Artesia Boulevard,11111 Artesia Blvd.,Cerritos,90703-2533,CA,(562) 229-7730,No Data,(562) 924-8136,No Data,http://www.gahrhs.us,29403,No Data,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,44816,44816,C,N,N,No Data,33.873114,-118.09725,Ricardo,Lois,ricardo.lois@abcusd.us,44056
1.96421E+13,601620,10232,Active,Los Angeles,ABC Unified,ABC Secondary (Alternative),16534 South Carmenita Road,16534 South Carmenita Rd.,Cerritos,90703-2301,CA,16534 South Carmenita Road,16534 South Carmenita Rd.,Cerritos,90703-2301,CA,(562) 229-7768,No Data,(562) 924-4946,No Data,No Data,33486,No Data,N,No Data,No Data,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,44754,44785,C,N,N,No Data,33.881547,-118.04635,Ricardo,Brown,ricardo.brown@abcusd.us,44056
1.96421E+13,601620,1,Active,Los Angeles,ABC Unified,Aloha Elementary,11737 East 214th Street,11737 East 214th St.,Lakewood,90715-2101,CA,11737 East 214th Street,11737 East 214th St.,Lakewood,90715-2101,CA,(562) 229-7825,No Data,(562) 809-3297,No Data,http://www.alohaes.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,Y,N,No Data,33.835176,-118.08372,Danielle,Saldavia,danielle.saldavia@abcusd.us,44056
1.96421E+13,601620,8,Active,Los Angeles,ABC Unified,Carver (Charles J.) Elementary,19200 East Ely Street,19200 East Ely St.,Cerritos,90703-7157,CA,19200 East Ely Street,19200 East Ely St.,Cerritos,90703-7157,CA,(562) 229-7840,No Data,(562) 402-8678,No Data,http://www.carveres.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,Y,N,No Data,33.8561,-118.06854,Deborah,Berlyn,deborah.berlyn@abcusd.us,44056
1.96421E+13,601620,22,Active,Los Angeles,ABC Unified,Melbourne (Ella P.) Elementary,21314 Claretta Avenue,21314 Claretta Ave.,Lakewood,90715-2301,CA,21314 Claretta Avenue,21314 Claretta Ave.,Lakewood,90715-2301,CA,(562) 229-7885,No Data,(562) 402-2764,No Data,http://www.melbournees.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,N,N,No Data,33.836071,-118.06764,Karina,Martir,karina.martir@abcusd.us,44056
1.96421E+13,601620,17,Active,Los Angeles,ABC Unified,Hawaiian Elementary,12350 East 226th Street,12350 East 226th St.,Hawaiian Gardens,90716-1721,CA,12350 East 226th Street,12350 East 226th St.,Hawaiian Gardens,90716-1721,CA,(562) 229-7865,No Data,(562) 431-9547,No Data,http://www.hawaiianes.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,N,N,No Data,33.82377,-118.06769,Mayra,Lozano,mayra.lozano@abcusd.us,44056
1.96421E+13,601620,19,Active,Los Angeles,ABC Unified,Kennedy (John F.) Elementary,17500 Belshire Avenue,17500 Belshire Ave.,Artesia,90701-4352,CA,17500 Belshire Avenue,17500 Belshire Ave.,Artesia,90701-4352,CA,(562) 229-7875,No Data,(562) 402-9851,No Data,http://www.kennedyes.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,N,N,No Data,33.872156,-118.07065,Melissa,Christensen,melissa.christensen@abcusd.us,44238
1.96421E+13,601620,23,Active,Los Angeles,ABC Unified,Niemes (John H.) Elementary,16715 Jersey Avenue,16715 Jersey Ave.,Artesia,90701-1750,CA,16715 Jersey Avenue,16715 Jersey Ave.,Artesia,90701-1750,CA,(562) 229-7890,No Data,(562) 402-8927,No Data,http://www.niemeses.us,29403,No Data,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,Y,N,No Data,33.878578,-118.08568,Meg,Jimenez,meg.jimenez@abcusd.us,43748
