CDS Code,County,District,School,Status,Closed Date,Website,Latitude,Longitude,Last Update,Street Address,Street City,Street State,Phone,Phone Extension,Email
19642126010904,Los Angeles,ABC Unified,Carver (Charles J.) Elementary,Active,No Data,www.carveres.us,33.856100,-118.068540,11/5/2021,19200 East Ely St.,Cerritos,CA,(562) 229-7840,No Data,No Data
19642126068274,Los Angeles,ABC Unified,Cerritos Elementary,Active,No Data,www.cerritoses.us,33.865877,-118.041993,11/5/2021,13600 East 183rd St.,Cerritos,CA,(562) 229-7845,No Data,No Data
19642121930056,Los Angeles,ABC Unified,Cerritos High,Active,No Data,www.cerritoshs.us,33.865464,-118.064791,11/5/2021,12500 East 183rd St.,Cerritos,CA,(562) 229-7715,No Data,No Data
19642126148605,Los Angeles,ABC Unified,Cerritos Lane Pre-School,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Cerritos,CA,Information Redacted,No Data,Information Redacted
19642126148696,Los Angeles,ABC Unified,Charisma High School,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Artesia,CA,Information Redacted,No Data,Information Redacted
19642126136675,Los Angeles,ABC Unified,CL Academy,Closed,6/30/2021,No Data,Information Redacted,Information Redacted,6/30/2021,Information Redacted,Cerritos,CA,Information Redacted,No Data,Information Redacted
19642126910970,Los Angeles,ABC Unified,Concordia Lutheran School,Closed,3/21/2011,No Data,No Data,No Data,3/21/2011,Information Redacted,Cerritos,CA,Information Redacted,No Data,No Data
19642126010987,Los Angeles,ABC Unified,Elliott (William F) Elementary,Active,No Data,www.elliottes.us,33.864919,-118.069859,11/5/2021,18415 Cortner Ave.,Artesia,CA,(562) 229-7850,No Data,No Data
19642126061238,Los Angeles,ABC Unified,Fedde (Pharis F.) Middle,Active,No Data,www.feddems.us,33.835028,-118.076580,11/5/2021,21409 South Elaine Ave.,Hawaiian Gardens,CA,(562) 229-7805,No Data,No Data
19642127104094,Los Angeles,ABC Unified,First Evangelical Church of Cerritos Children,Closed,4/28/2009,No Data,No Data,No Data,4/28/2009,Information Redacted,Cerritos,CA,Information Redacted,No Data,No Data
19642126010979,Los Angeles,ABC Unified,Furgeson (Venn W.) Elementary,Active,No Data,www.furgesones.us,33.826696,-118.076086,11/5/2021,22215 Elaine Ave.,Hawaiian Gardens,CA,(562) 229-7855,No Data,No Data
19642121933159,Los Angeles,ABC Unified,Gahr (Richard) High,Active,No Data,www.gahrhs.us,33.873114,-118.097252,8/1/2022,11111 Artesia Blvd.,Cerritos,CA,(562) 229-7730,No Data,No Data
19642126085617,Los Angeles,ABC Unified,Gonsalves (Joe A.) Elementary,Active,No Data,www.gonsalveses.us,33.878666,-118.040853,11/5/2021,13650 Park St.,Cerritos,CA,(562) 229-7860,No Data,No Data
19642126061220,Los Angeles,ABC Unified,Haskell (Pliny Fisk) Middle,Active,No Data,www.haskellms.us,33.846085,-118.087538,11/5/2021,11525 Del Amo Blvd.,Cerritos,CA,(562) 229-7815,No Data,No Data
19642126010920,Los Angeles,ABC Unified,Hawaiian Elementary,Active,No Data,www.hawaiianes.us,33.823770,-118.067690,11/5/2021,12350 East 226th St.,Hawaiian Gardens,CA,(562) 229-7865,No Data,No Data
19642126150528,Los Angeles,ABC Unified,Honeycomb Learning Center,Closed,6/30/2020,No Data,Information Redacted,Information Redacted,6/30/2020,Information Redacted,Cerritos,CA,Information Redacted,No Data,Information Redacted
19642126071351,Los Angeles,ABC Unified,Juarez (Benito) Elementary,Active,No Data,www.juarezes.us,33.874506,-118.078892,11/5/2021,11939 Aclare St.,Cerritos,CA,(562) 229-7870,No Data,No Data
19642126010938,Los Angeles,ABC Unified,Kennedy (John F.) Elementary,Active,No Data,www.kennedyes.us,33.872156,-118.070652,11/5/2021,17500 Belshire Ave.,Artesia,CA,(562) 229-7875,No Data,No Data
19642126085609,Los Angeles,ABC Unified,Leal (Frank C.) Elementary,Active,No Data,www.leales.us,33.861096,-118.056768,11/5/2021,12920 Droxford St.,Cerritos,CA,(562) 229-7880,No Data,No Data
19642126010912,Los Angeles,ABC Unified,Melbourne (Ella P.) Elementary,Active,No Data,www.melbournees.us,33.836071,-118.067648,11/5/2021,21314 Claretta Ave.,Lakewood,CA,(562) 229-7885,No Data,No Data
19642126996904,Los Angeles,ABC Unified,Montessori House of Children,Closed,4/28/2009,No Data,No Data,No Data,4/28/2009,Information Redacted,Artesia,CA,Information Redacted,No Data,No Data
19642127081300,Los Angeles,ABC Unified,New Life Kindergarten,Closed,4/28/2009,No Data,No Data,No Data,4/28/2009,Information Redacted,Artesia,CA,Information Redacted,No Data,No Data
19642126010946,Los Angeles,ABC Unified,Niemes (John H.) Elementary,Active,No Data,www.niemeses.us,33.878578,-118.085684,11/5/2021,16715 Jersey Ave.,Artesia,CA,(562) 229-7890,No Data,No Data
19642126093454,Los Angeles,ABC Unified,Nixon (Patricia) Elementary,Active,No Data,www.nixones.us,33.852834,-118.076495,11/5/2021,19600 Jacob Ave.,Cerritos,CA,(562) 229-7895,No Data,No Data
19642126962807,Los Angeles,ABC Unified,Our Lady of Fatima,Active,No Data,No Data,33.861873,-118.079461,6/27/2022,18626 Clarkdale Ave.,Artesia,CA,(562) 865-1621,No Data,mr.bressert@olfartesia.org
19642126010961,Los Angeles,ABC Unified,Palms Elementary,Active,No Data,www.palmses.us,33.842391,-118.066517,11/5/2021,12445 East 207th St.,Lakewood,CA,(562) 229-7900,No Data,No Data
19642127084429,Los Angeles,ABC Unified,Park Montessori School,Closed,1/5/2010,No Data,No Data,No Data,1/5/2010,Information Redacted,Lakewood,CA,Information Redacted,No Data,No Data
19642126057442,Los Angeles,ABC Unified,Ross (Faye) Middle,Active,No Data,www.rossms.us,33.870971,-118.076904,11/5/2021,17707 Elaine Ave.,Artesia,CA,(562) 229-7785,No Data,No Data
19642126142954,Los Angeles,ABC Unified,Seat of Wisdom Academy,Closed,5/23/2013,No Data,No Data,No Data,6/6/2013,No Data,No Data,No Data,Information Redacted,No Data,Information Redacted
19642126066716,Los Angeles,ABC Unified,Stowers(Cecil B.) Elementary,Active,No Data,www.stowerses.us,33.876365,-118.045809,11/5/2021,13350 Beach St.,Cerritos,CA,(562) 229-7905,No Data,No Data
19642127087711,Los Angeles,ABC Unified,Su Casa Domestic Abuse Network,Closed,8/2/2007,No Data,No Data,No Data,8/2/2007,Information Redacted,Artesia,CA,Information Redacted,No Data,No Data
19642126057459,Los Angeles,ABC Unified,Tetzlaff (Martin B.) Middle,Active,No Data,www.tetzlaffms.us,33.846233,-118.068570,11/5/2021,12351 East Del Amo Blvd.,Cerritos,CA,(562) 229-7795,No Data,No Data
19642121931641,Los Angeles,ABC Unified,Tracy (Wilbur) High (Continuation),Active,No Data,www.tracyhs.us,33.878969,-118.071994,11/5/2021,12222 Cuesta Dr.,Cerritos,CA,(562) 229-7760,No Data,No Data
19642127094550,Los Angeles,ABC Unified,Turner Christian High School,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Hawaiian Gardens,CA,Information Redacted,No Data,Information Redacted
19642126936108,Los Angeles,ABC Unified,Valley Christian High School,Active,No Data,No Data,33.870433,-118.103478,11/9/2021,17700 Dumont Ave.,Cerritos,CA,(562) 865-0281,No Data,hsinfo@vcschools.org
19642126983175,Los Angeles,ABC Unified,Valley Christian Middle School,Active,No Data,www.vcschools.org,33.867943,-118.102827,2/11/2022,18100 Dumont Ave,Cerritos,CA,(562) 865-6519,No Data,vcmsoffice@vcschools.org
19642121931880,Los Angeles,ABC Unified,Whitney (Gretchen) High,Active,No Data,www.whitneyhs.us,33.878999,-118.055114,11/5/2021,16800 Shoemaker Ave.,Cerritos,CA,(562) 229-7745,No Data,No Data
19642126010995,Los Angeles,ABC Unified,Willow Elementary,Active,No Data,www.willowes.us,33.844288,-118.083458,11/5/2021,11733 East 205th St.,Lakewood,CA,(562) 229-7910,No Data,No Data
19642126093447,Los Angeles,ABC Unified,Wittmann (Helen) Elementary,Active,No Data,www.wittmannes.us,33.878028,-118.057479,11/5/2021,16801 Yvette Ave.,Cerritos,CA,(562) 229-7915,No Data,No Data
19753090130781,Los Angeles,Acton-Agua Dulce Unified,Academy of Arts and Sciences: Los Angeles (9-12),Closed,6/8/2016,Information Not Available,No Data,No Data,1/5/2017,17500 Burbank Blvd.,Encino,CA,Information Not Available,No Data,No Data
19753090130773,Los Angeles,Acton-Agua Dulce Unified,Academy of Arts and Sciences: Los Angeles (K-8),Closed,6/30/2016,Information Not Available,34.172041,-118.514728,10/23/2019,17500 Burbank Blvd.,Encino,CA,Information Not Available,No Data,Information Not Available
19753096022735,Los Angeles,Acton-Agua Dulce Unified,Acton Elementary,Closed,7/1/2004,No Data,No Data,No Data,1/30/2009,32248 North Crown Valley Rd.,Acton,CA,Information Not Available,No Data,No Data
19753096022743,Los Angeles,Acton-Agua Dulce Unified,Agua Dulce Elementary,Closed,6/30/2015,No Data,34.487306,-118.334942,12/21/2015,11311 West Frascati St.,Agua Dulce,CA,Information Not Available,No Data,No Data
19753090128603,Los Angeles,Acton-Agua Dulce Unified,Albert Einstein Academy Elementary,Closed,6/30/2015,Information Not Available,34.437502,-118.576867,10/20/2017,25300 Rye Canyon,Santa Clarita,CA,Information Not Available,No Data,Information Not Available
19753090131201,Los Angeles,Acton-Agua Dulce Unified,"Albert Einstein Academy for Letters, Arts & Sciences - Agua Dulce Partnership Academy",Closed,6/30/2018,Information Not Available,34.487360,-118.334141,7/9/2018,11311 Frascati St.,Agua Dulce,CA,Information Not Available,No Data,Information Not Available
19753090133231,Los Angeles,Acton-Agua Dulce Unified,"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",Closed,6/30/2018,Information Not Available,34.071847,-118.385246,7/9/2018,8844 Burton Way,Beverly Hills,CA,Information Not Available,No Data,Information Not Available
19753090129841,Los Angeles,Acton-Agua Dulce Unified,"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",Closed,8/19/2015,Information Not Available,34.071847,-118.385246,10/29/2015,8844 Burton Way,Beverly Hills,CA,Information Not Available,No Data,Information Not Available
19753090132191,Los Angeles,Acton-Agua Dulce Unified,"Albert Einstein Academy for Letters, Arts and Sciences-STEAM",Closed,6/30/2018,Information Not Available,34.390494,-118.549104,7/9/2018,25443 Orchard Village Rd.,Valencia,CA,Information Not Available,No Data,Information Not Available
19753096157929,Los Angeles,Acton-Agua Dulce Unified,Aspen Ridge Preparatory School,Closed,6/30/2020,No Data,Information Redacted,Information Redacted,6/30/2020,Information Redacted,Acton,CA,Information Redacted,No Data,Information Redacted
19753090127100,Los Angeles,Acton-Agua Dulce Unified,Assurance Learning Academy,Active,No Data,http://assurancelearning.org/,34.666971,-118.130506,11/5/2021,"43145 Business Center, Ste. 102-103",Lancaster,CA,(661) 272-1225,No Data,principal@assurancelearning.org
19753096155071,Los Angeles,Acton-Agua Dulce Unified,Brown's Flexible Learning Academy,Closed,4/30/2019,No Data,Information Redacted,Information Redacted,10/22/2019,Information Redacted,Santa Claruta,CA,Information Redacted,No Data,Information Redacted
19753090132654,Los Angeles,Acton-Agua Dulce Unified,California Pacific Charter- Los Angeles,Active,No Data,www.cal-pacs.org,33.666000,-117.869821,11/5/2021,"4101 Birch St., Ste. 150",Newport Beach,CA,(855) 225-7227,No Data,cfeher@cal-pacs.org
19753090135145,Los Angeles,Acton-Agua Dulce Unified,Compass Charter Schools of Los Angeles,Active,No Data,www.compasscharters.org,34.155677,-118.830822,1/21/2022,"850 Hampshire Rd., Ste. R",Thousand Oaks,CA,(855) 937-4227,No Data,info@compasscharters.org
19753096200422,Los Angeles,Acton-Agua Dulce Unified,Desert Canyon Academy,Closed,8/2/2007,No Data,No Data,No Data,8/2/2007,Information Redacted,Agua Dulce,CA,Information Redacted,No Data,No Data
19753090134619,Los Angeles,Acton-Agua Dulce Unified,Empower Generations,Active,No Data,www.empowergenerations.org,34.687185,-118.147272,3/25/2022,44236 10th St. W.,Lancaster,CA,(661) 429-3264,No Data,info@empowergenerations.org
19753096107494,Los Angeles,Acton-Agua Dulce Unified,High Desert,Active,No Data,No Data,34.492578,-118.190390,11/5/2021,3620 Antelope Woods Rd.,Acton,CA,(661) 269-0310,No Data,No Data
19753090138297,Los Angeles,Acton-Agua Dulce Unified,iLead Agua Dulce,Active,No Data,www.ileadaguadulce.org,34.487679,-118.332478,3/25/2022,11311 Frascati St.,Agua Dulce,CA,(661) 268-6386,No Data,info@ileadaguadulce.org
19753090131987,Los Angeles,Acton-Agua Dulce Unified,iLEAD Hybrid,Active,No Data,http://ileadhybrid.org/,34.492805,-118.195938,3/25/2022,3720 Sierra Hwy. Ste. A,Acton,CA,(661) 755-6621,No Data,info@ileadhybrid.org
19753090136531,Los Angeles,Acton-Agua Dulce Unified,iLEAD Online,Active,No Data,https://ileadonline.org/,34.492805,-118.195938,5/9/2022,3720 Sierra Hwy.,Acton,CA,(661) 644-8701,No Data,online.classes@ileadschools.org
19753090129742,Los Angeles,Acton-Agua Dulce Unified,Inspire Charter,Closed,6/30/2019,Information Not Available,34.472692,-118.196581,5/18/2020,32248 Crown Valley Rd.,Acton,CA,Information Not Available,No Data,Information Not Available
19753096148563,Los Angeles,Acton-Agua Dulce Unified,Inspire International School,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Acton,CA,Information Redacted,No Data,Information Redacted
19753096115679,Los Angeles,Acton-Agua Dulce Unified,Meadowlark Elementary,Active,No Data,No Data,34.474210,-118.185750,1/21/2022,3015 West Sacramento St.,Acton,CA,(661) 269-8140,No Data,No Data
19753090131557,Los Angeles,Acton-Agua Dulce Unified,Method Schools High,Closed,6/30/2018,Information Not Available,34.151357,-118.022134,7/5/2018,317 East Foothill Blvd.,Arcadia,CA,Information Not Available,No Data,Information Not Available
19753090131540,Los Angeles,Acton-Agua Dulce Unified,Method Schools K-8,Closed,6/30/2018,Information Not Available,34.151357,-118.022134,7/9/2018,317 East Foothill Blvd.,Arcadia,CA,Information Not Available,No Data,Information Not Available
19753090137703,Los Angeles,Acton-Agua Dulce Unified,"Method Schools, LA",Active,No Data,www.methodschools.org,33.561275,-117.209138,11/5/2021,24620 Jefferson Ave.,Murrieta,CA,(951) 461-4620,No Data,jessica@methodschools.org
19753090137786,Los Angeles,Acton-Agua Dulce Unified,Mission Academy,Active,No Data,http://missionacademyhs.org/,34.666127,-118.129660,11/5/2021,43141 Business Center Pkwy Ste. 102,Lancaster,CA,(844) 788-3965,No Data,principal@missionacademyhs.org
19753090136648,Los Angeles,Acton-Agua Dulce Unified,Options for Youth-Acton,Active,No Data,http://ofy.org/,34.063466,-117.429688,3/25/2022,"17216 Slover Ave., Ste. L-102",Fontana,CA,(909) 429-0482,No Data,actonleadership@propelcmg.org
19753090134585,Los Angeles,Acton-Agua Dulce Unified,Pathways Academy Charter Adult Education,Closed,6/30/2021,Information Not Available,33.141522,-117.162458,11/5/2021,100 East San Marcos Blvd. Ste. 350,San Marcos,CA,Information Not Available,No Data,Information Not Available
19753090129411,Los Angeles,Acton-Agua Dulce Unified,SCALE Leadership Academy,Closed,6/30/2019,Information Not Available,34.472692,-118.196581,5/18/2020,32248 Crown Valley Rd.,Acton,CA,Information Not Available,Information Not Available,Information Not Available
19753096154306,Los Angeles,Acton-Agua Dulce Unified,Shannondale Academy,Closed,6/30/2020,No Data,Information Redacted,Information Redacted,6/30/2020,Information Redacted,Acton,CA,Information Redacted,No Data,Information Redacted
19753096131437,Los Angeles,Acton-Agua Dulce Unified,Shiloh Christian School,Closed,8/2/2007,No Data,No Data,No Data,8/2/2007,Information Redacted,Acton,CA,Information Redacted,No Data,No Data
19753090131383,Los Angeles,Acton-Agua Dulce Unified,SIATech Academy South,Active,No Data,www.siatech.org,34.033636,-118.162279,3/25/2022,255 S. Mednik Ave.,Los Angeles,CA,(760) 945-1227,No Data,terrance.mims@siatech.org
19753096134340,Los Angeles,Acton-Agua Dulce Unified,Tree of Life Christian Academy,Closed,1/5/2010,No Data,No Data,No Data,1/5/2010,Information Redacted,Acton,CA,Information Redacted,No Data,No Data
19753090130955,Los Angeles,Acton-Agua Dulce Unified,Valiant Academy of Los Angeles,Closed,6/30/2019,Information Not Available,34.472692,-118.196581,5/18/2020,32248 Crown Valley Rd.,Acton,CA,Information Not Available,No Data,Information Not Available
19753090130922,Los Angeles,Acton-Agua Dulce Unified,Valley Prep 6-8,Closed,6/30/2015,Information Not Available,34.274365,-118.413171,10/20/2017,11251 Glenoaks Blvd.,Pacoima,CA,Information Not Available,No Data,Information Not Available
19753090130898,Los Angeles,Acton-Agua Dulce Unified,Valley Prep 9-12,Closed,6/30/2015,Information Not Available,34.186082,-118.453497,10/20/2017,14701 Friar St.,Van Nuys,CA,Information Not Available,No Data,Information Not Available
19753090130914,Los Angeles,Acton-Agua Dulce Unified,Valley Prep K-5,Closed,6/30/2015,Information Not Available,34.274999,-118.413104,10/20/2017,11261 Glenoaks Blvd.,Pacoima,CA,Information Not Available,No Data,Information Not Available
19753091995786,Los Angeles,Acton-Agua Dulce Unified,Vasquez High,Active,No Data,No Data,34.493620,-118.216110,1/21/2022,33630 Red Rover Mine Rd.,Acton,CA,(661) 269-0451,No Data,No Data
19642386202865,Los Angeles,Alhambra City High,Sherman School,Closed,8/12/2004,No Data,No Data,No Data,12/21/2004,Information Redacted,Alhambra,CA,Information Redacted,No Data,No Data
19757131996396,Los Angeles,Alhambra Unified,Alhambra Community Day,Closed,8/18/2006,No Data,No Data,No Data,10/2/2009,1000 West Eighth St.,Alhambra,CA,Information Not Available,No Data,No Data
19757131930163,Los Angeles,Alhambra Unified,Alhambra High,Active,No Data,www.ausd.us,34.095262,-118.129706,1/25/2022,101 South Second St.,Alhambra,CA,(626) 943-6910,No Data,No Data
19757131933340,Los Angeles,Alhambra Unified,Alhambra Independent Study,Closed,3/6/1985,No Data,No Data,No Data,12/27/2005,8 Park St.,Alhambra,CA,No Data,No Data,No Data
19757136960728,Los Angeles,Alhambra Unified,All Souls School,Active,No Data,No Data,34.090639,-118.140499,10/8/2021,29 South Electric Ave.,Alhambra,CA,(626) 282-5695,No Data,mnavarro@allsoulsla.org
19757136134514,Los Angeles,Alhambra Unified,Alpha-Shen Kindergarten,Active,No Data,No Data,34.069190,-118.130244,6/27/2022,618 North Moore Ave.,Monterey Park,CA,(626) 282-2011,No Data,alphashenpreschool@gmail.com
19757136160519,Los Angeles,Alhambra Unified,"Angel's Montessori Preschool, Inc.",Active,No Data,No Data,34.096912,-118.127469,6/27/2022,150 N. Garfield Ave,Alhambra,CA,(818) 434-1179,No Data,melpetrosyan@angels-preschool.com
19757136142137,Los Angeles,Alhambra Unified,Bell Tower Trilingual School,Active,No Data,No Data,34.094189,-118.158667,6/27/2022,3116 West Main St.,Alhambra,CA,(626) 201-0390,No Data,info@belltowerschool.com
19757136934244,Los Angeles,Alhambra Unified,BELMONT COLLEGE PREPARATORY,Closed,8/12/2004,No Data,No Data,No Data,12/27/2005,Information Redacted,Monterey Park,CA,Information Redacted,No Data,No Data
19757136149678,Los Angeles,Alhambra Unified,Blue Sky Schoolhouse,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,5/12/2016,Information Redacted,Monterey Park,CA,Information Redacted,No Data,Information Redacted
19757136011001,Los Angeles,Alhambra Unified,Brightwood Elementary,Active,No Data,www.ausd.us,34.045452,-118.152682,2/11/2022,1701 Brightwood St.,Monterey Park,CA,(626) 943-3360,No Data,No Data
19757136158471,Los Angeles,Alhambra Unified,California Institute of Sciences,Closed,6/30/2020,No Data,Information Redacted,Information Redacted,6/30/2020,Information Redacted,Alhambra,CA,Information Redacted,No Data,Information Redacted
19757131930122,Los Angeles,Alhambra Unified,Century High,Active,No Data,www.ausd.us,34.091236,-118.141948,1/25/2022,20 South Marengo Ave.,Alhambra,CA,(626) 943-6680,No Data,No Data
19757136011019,Los Angeles,Alhambra Unified,Emery Park Elementary,Active,No Data,www.ausd.us,34.087820,-118.154352,11/5/2021,2821 West Commonwealth Ave.,Alhambra,CA,(626) 943-3340,No Data,No Data
19757136203905,Los Angeles,Alhambra Unified,Emmaus Lutheran,Active,No Data,No Data,34.086332,-118.115657,6/27/2022,840 South Almansor,Alhambra,CA,(626) 289-3664,No Data,rmarousek@emmausalhambra.org
19757136960702,Los Angeles,Alhambra Unified,EMMAUS LUTHERAN,Closed,8/12/2004,No Data,No Data,No Data,12/27/2005,Information Redacted,Alhambra,CA,Information Redacted,No Data,No Data
19757137065816,Los Angeles,Alhambra Unified,First Baptist Church Alhambra Day Care,Closed,5/12/2016,No Data,Information Redacted,Information Redacted,10/23/2019,Information Redacted,Alhambra,CA,Information Redacted,No Data,Information Redacted
19757137090962,Los Angeles,Alhambra Unified,Foothill Preparatory School,Active,No Data,No Data,34.099751,-118.069474,5/3/2022,9123 BRd.way,Temple City,CA,(626) 282-9936,No Data,teachrs7@yahoo.com
19757136011027,Los Angeles,Alhambra Unified,Fremont Elementary,Active,No Data,www.ausd.us,34.071205,-118.150518,11/5/2021,2001 South Elm St.,Alhambra,CA,(626) 943-3360,No Data,No Data
19757136011035,Los Angeles,Alhambra Unified,Garfield Elementary,Active,No Data,www.ausd.us,34.101500,-118.132868,11/5/2021,110 West McLean St.,Alhambra,CA,(626) 943-3380,No Data,No Data
19757136960348,Los Angeles,Alhambra Unified,Grace Garden Preschool-Alhambra,Closed,7/13/2006,No Data,No Data,No Data,7/13/2006,Information Redacted,Alhambra,CA,Information Redacted,No Data,No Data
19757136011043,Los Angeles,Alhambra Unified,Granada Elementary,Active,No Data,www.ausd.us,34.100675,-118.118610,11/5/2021,100 South Granada Ave.,Alhambra,CA,(626) 943-3600,No Data,No Data
19757136986350,Los Angeles,Alhambra Unified,Happy Day School Inc.,Active,No Data,No Data,34.067494,-118.132338,6/27/2022,507 N. Chandler Ave,Monterey Park,CA,(626) 282-2919,No Data,Happydayschoolfamily@gmail.com
19757131995430,Los Angeles,Alhambra Unified,Independence High (Alternative),Active,No Data,www.ausd.us,34.091236,-118.141948,1/25/2022,20 South Marengo Ave.,Alhambra,CA,(626) 943-6681,No Data,No Data
19757136935084,Los Angeles,Alhambra Unified,Leeway School,Closed,1/15/2020,Information Redacted,Information Redacted,Information Redacted,1/15/2020,Information Redacted,Alhambra,CA,Information Redacted,No Data,Information Redacted
19757137025075,Los Angeles,Alhambra Unified,Lily's Garden Preschool and Kindergarten,Active,No Data,No Data,34.089616,-118.119321,6/27/2022,616 S Chapel Ave,Alhambra,CA,(626) 282-9736,No Data,lilysgardenpk@gmail.com
19757136011050,Los Angeles,Alhambra Unified,Marguerita Elementary,Active,No Data,www.ausd.us,34.075684,-118.138267,1/25/2022,1603 South Marguerita Ave.,Alhambra,CA,(626) 943-3620,No Data,No Data
19757131934538,Los Angeles,Alhambra Unified,Mark Keppel Adult High,Closed,6/30/1989,No Data,No Data,No Data,12/7/2017,501 East Hellman Ave.,Alhambra,CA,No Data,No Data,No Data
19757131934553,Los Angeles,Alhambra Unified,Mark Keppel High,Active,No Data,www.ausd.us,34.069864,-118.115350,1/25/2022,501 East Hellman Ave.,Alhambra,CA,(626) 943-6710,No Data,No Data
19757136011068,Los Angeles,Alhambra Unified,Martha Baldwin Elementary,Active,No Data,www.ausd.us,34.106242,-118.127314,11/5/2021,900 South Almansor St.,Alhambra,CA,(626) 943-3300,No Data,No Data
19757136011076,Los Angeles,Alhambra Unified,Monterey Highlands Elementary,Active,No Data,www.ausd.us,34.056576,-118.156539,1/25/2022,400 Casuda Canyon Dr.,Monterey Park,CA,(626) 570-6220,No Data,No Data
19757137081516,Los Angeles,Alhambra Unified,Oneonta Montessori School,Active,No Data,No Data,34.092107,-118.148079,6/27/2022,2221 Poplar Blvd.,Alhambra,CA,(626) 284-0840,No Data,fiona@oneontamontessori.com
19757136011084,Los Angeles,Alhambra Unified,Park Elementary,Active,No Data,www.ausd.us,34.095253,-118.142120,1/25/2022,301 North Marengo Ave.,Alhambra,CA,(626) 943-3640,No Data,No Data
19757139011735,Los Angeles,Alhambra Unified,Park Preschool,Merged,6/30/1989,No Data,No Data,No Data,12/7/2017,220 North Raymond,Alhambra,CA,No Data,No Data,No Data
19757137078264,Los Angeles,Alhambra Unified,"PICCADILLY CENTER, A PRESCHOOL",Closed,8/12/2004,No Data,No Data,No Data,12/27/2005,Information Redacted,Alhambra,CA,Information Redacted,No Data,No Data
19757136935654,Los Angeles,Alhambra Unified,Ramona Convent Secondary School,Active,No Data,No Data,34.071770,-118.138273,6/27/2022,1701 West Ramona Rd.,Alhambra,CA,(626) 282-4151,No Data,jsienkowski@ramonaconvent.org
19757136011092,Los Angeles,Alhambra Unified,Ramona Elementary,Active,No Data,www.ausd.us,34.076046,-118.128160,11/5/2021,509 West Norwood Pl.,Alhambra,CA,(626) 943-3660,No Data,No Data
19757136011100,Los Angeles,Alhambra Unified,Repetto Elementary,Active,No Data,www.ausd.us,34.053985,-118.128399,1/25/2022,650 South Grandridge Ave.,Monterey Park,CA,(626) 570-6240,No Data,No Data
